Model (Codename),Release Date &amp; Price,Microarchitecture &amp; Microarchitecture,Transistors &amp; Die Size,Core,,FillrateFillrateFillrateFillrate,,Processing powerGFLOPSGFLOPS (GFLOPS),,Memory,,,,Typical board power),Bus interface
,,,,Config[e],ClockHertz (Hertz),Texture (Texel (graphics)/s),Pixel (Pixel/s),Single precision floating-point format,Double precision floating-point format,Bus type &amp; width,Size (Gibibyte),Clock (Transfer (computing)),Band- width (Gigabyte/s),,
Radeon 520[79]," April 18, 2017 OEM ",Graphics Core Next 28 nm,Unknown,320:20:4 5 CU,1030,20.6,4.1,659,Unknown,GDDR5 64-bit,1 2,4500,48,Unknown,Unknown
Radeon 530 GDDR5[80]," April 18, 2017 OEM ",Graphics Core Next 28 nm,125 mm2,320:20:8 384:24:8 6/5 CU,1024,24.6,8.2,655 786,Unknown,GDDR5 64-bit,1 2 4[81],,,Unknown,Unknown
Radeon 530 DDR3[80],,,,,,,,,,DDR3,,,,,,Unknown,Unknown
Radeon RX 540 (Lexa)[82][83]," April 18, 2017 OEM ",Graphics Core Next Graphics Core Next/Graphics Core Next Graphics Core NextGraphics Core NextGraphics Core Next,2.2×109 101 mm2,512:32:16 8 CU,1219,39,19.5,1248,78,GDDR5 128-bit,2 4,6000,96,Unknown,PCIe 3.0 x8
Radeon RX 550 (Lexa)[85][86]," April 20, 2017 $79 USD ",,,640:40:16 10 CU,1100[87]  1183,35.2  37.9,17.6  18.9,1126  1211,70.4  75.7,,,7000,112,50,
Radeon 550X (Lexa)[88]," April 11, 2018 OEM ",,,640:40:16 10 CU,1287,51.48,20.6,1647,103,GDDR5 64-bit,,7000,56,50,
Radeon RX 550X (Lexa)[89]," April 3, 2018 $79 USD ",,,512:40:16 640:40:16 8/10 CU,1287,51.48,20.6,1318 1647,82.4 103,GDDR5 128-bit,,7000,112,50,
Radeon RX 560D[90][91][92],July 2017 Only available in China and through OEMs,,3.0×109 123 mm2,896:56:16 14 CU,1090  1175,61.0  65.8," 17,4  18.8  ",1953  2106," 122,0  131.6  ",,,6000,96,65,
Radeon  RX 560 [g] (Baffin)[90],October 2017 $99 USD,,,896:56:16 14 CU,1090  1175,61.0  65.8,17.4  18.8,1953  2106,122.0  131.6,,,7000,112,60-80,
Radeon RX 560[g] (Baffin)[93][86],May 2017 $99 USD,,,1024:64:16 16 CU,1175  1275,75.2  81.6,18.8  20.4,2406  2611,150.4  163.2,,,7000,112,60–80,
Radeon RX 570 (Polaris20 XL)[94][86]," April 18, 2017 $169 USD ",5.7×109 232 mm2,2048:128:32 32 CU,1168  1244,149.5  159.2,37.4  39.8,4784  5095,299.0  318.4,GDDR5 256-bit,4 8,7000,224,150,PCIe 3.0 x16
Radeon RX 580 (Polaris20 XT)[95][86]," April 18, 2017 $199 USD (4 GB) $229 USD (8 GB) ",,2304:144:32 36 CU,1257  1340,181.0  193.0,40.2  42.9,5792  6175,362.0  385.9,,,8000,256,185,
Radeon RX 590 (Polaris30 XT)[96]," November 15, 2018 $279 USD ",,Graphics Core Next Graphics Core Next/Graphics Core Next Graphics Core Next (14LP+)Graphics Core Next,2304:144:32 36 CU,1469  1545,211.5  222.5,47.0  49.4,6769  7120,,423.0  444.9,8,8000,256,,225
