Engine, Origin, Designer, Vehicle, Status, Use, Propellant, Specific impulse (s)[a], Thrust (N)[a], Mass (kg), Thrust:weight ratio[b], Chamber pressure (bar), Oxidiser:fuel ratio
Aeon 1, IMG USA, Relativity Space, Terran 1, Development, 1st, CH4 / LOX, 310, 86740 (SL)[1], , , , 
Aeon 1 Vacuum, IMG USA, Relativity Space, Terran 1, Development, 2nd, CH4 / LOX, 360, 100085 (SL)[1], , , , 
AJ-10-190, IMG USA, Aerojet, Space Shuttle Orion, Active, Upper, N2O4/MMH, 316[2], 26689[2], 118[2], 23.08, 8.62[2], 
AJ-60A, IMG USA, Aerojet, Atlas V, Active, Booster, HTPB, 275, 1270000[3], , , , 
AR1, IMG USA, Aerojet Rocketdyne, Beta (potential)[4], Development, 1st, RP-1 / LOX, , 2200000 (SL)[5], , , , 2.72
BE-3, IMG USA, Blue Origin, New Shepard, Active, 1st, LH2 / LOX, , 490000[6], , , , 
BE-3U, IMG USA, Blue Origin, New Glenn, Development, 2nd, LH2 / LOX, , 710000[6], , , , 
BE-4, IMG USA, Blue Origin, New Glenn Vulcan, Development, 1st, CH4 / LOX, , 2400000[7][8], , , 134[9], 
CE-20, IMG India, LPSC, GSLV Mk III, Active, Upper, LH2 / LOX, 443, 200000, 588, 34.7, 60.00, 5.05
CE-7.5, IMG India, LPSC, GSLV Mk II, Active, Upper, LH2 / LOX, 454[10], 73500, 445, 16.85, 58, 
Engine-2, IMG USA, Launcher Space, Rocket-1, Development, 1st, RP-1 / LOX, 327[11] 290 (SL), 100000[11], , , , 2.62
Engine-2 Vacuum, IMG USA, Launcher Space, Rocket-1, Development, 2nd, RP-1 / LOX, 365[11], 100000[11], , , , 2.62
GEM 63, IMG USA, Northrop Grumman, Atlas V, Development, Booster, HTPB, , 1662745[12], 44225, , , 
GEM 63XL, IMG USA, Northrop Grumman, Vulcan, Development, Booster, HTPB, , 2025720[12], 47990, , , 
Hadley, IMG USA, Ursa Major Technologies, GOLauncher 1[13], Development, 1st, RP-1 / LOX, , 22241 (SL)[14], , , , 
HM-7B, IMG Europe, Snecma, Ariane 2 Ariane 3 Ariane 4 Ariane 5 ECA, Active, Upper, LH2 / LOX, 446[15] 310 (SL)[16], 64800[15] 43600 (SL)[16], 165[15], 43.25, 37[15], 5
