Country,Program,Agency engaged,First orbital crewed launch,,,,
,,,Spacecraft,Term(s) for space traveler,First human(s) launched,Date,Launch system
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shuguang (spacecraft) (1968–72),Chinese space program,Shuguang spacecraft (Intended),宇航员 (in Chinese) yǔhángyuán 航天员 (in Chinese) hángtiānyuán,N/A,N/A,Long March 2A (Intended)
,Project 863 (1976–80),Chinese space program,Fanhui Shi Weixing spacecraft (Intended),,N/A,N/A,Long March 2 (Intended)
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,HOPE-X (late 1980s-2003),National Space Development Agency of Japan,HOPE-X spaceplane (Intended),宇宙飛行士 (in Japanese) uchūhikōshi or アストロノート astoronoto,N/A,N/A,H-IIA (Intended)
//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Iraq_%281991%E2%80%932004%29.svg/23px-Flag_of_Iraq_%281991%E2%80%932004%29.svg.png Ba'athist Iraq,... (1989-2001)," Space Research Center, Baghdad ",N/A,رجل فضاء (in Arabic) rajul faḍāʼ رائد فضاء (in Arabic) rāʼid faḍāʼ ملاح فضائي (in Arabic) mallāḥ faḍāʼiy,N/A,N/A,Tammouz rocket (page does not exist) (Intended)
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shenzhou program (1992–present),China National Space Administration,Shenzhou spacecraft spacecraft and Shenzhou spacecraft space laboratory," 宇航员 (in Chinese) yǔhángyuán 航天员 (in Chinese) hángtiānyuán taikonaut(""太空人"" tàikōng rén)  ",杨利伟 (Yang Liwei),2003-10-15," Long March 2F, Long March 2F "
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Project 921-3 (1990s),China National Space Administration,Tianjiao-1 or Chang Cheng-1 (Great Wall-1) winged spaceplanes (Intended)," 宇航员 (in Chinese) yǔhángyuán 航天员 (in Chinese) hángtiānyuán taikonaut(""太空人"" tàikōng rén)  ",N/A,N/A,Project 921-3 reusable shuttle system (Intended)
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan," Kankoh-maru (1993-1997,2005) "," Japanese Rocket Society (page does not exist) [Japanese Rocket Society (page does not exist)], Japanese Rocket Society (page does not exist) and Japanese Rocket Society (page does not exist) ",Kankoh-maru reusable shuttle system (Intended),宇宙飛行士 (in Japanese) uchūhikōshi or アストロノート astoronoto,N/A,N/A,Kankoh-maru reusable shuttle system (Intended)
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,... (2001-2003),National Space Development Agency of Japan,Fuji (spacecraft) (Intended),宇宙飛行士 (in Japanese) uchūhikōshi or アストロノート astoronoto,N/A,N/A,H-IIA (Intended)
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Project 921-2 (2020–present),China National Space Administration," Next-generation crewed spacecraft reused spacecraft, Next-generation crewed spacecraft non-reentry and Next-generation crewed spacecraft reentry cargo spacecrafts and permanent modular Next-generation crewed spacecraft "," 宇航员 (in Chinese) yǔhángyuán 航天员 (in Chinese) hángtiānyuán taikonaut(""太空人"" tàikōng rén)  ",TBD,TBD," Long March 3, Long March 3 "
//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Human Spaceflight Programme (2007–present),Human Space Flight Centre (Human Space Flight Centre),Gaganyaan spacecraft and small space laboratory,Vyomanaut/Gaganaut,TBA,December 2021 (Planned) Before 2022-08-15 (Scheduled),GSLV Mk III
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Project 921-3 (2000s–present),China National Space Administration,Shenlong (spacecraft) spaceplane," 宇航员 (in Chinese) yǔhángyuán 航天员 (in Chinese) hángtiānyuán taikonaut(""太空人"" tàikōng rén)  ",TBD,TBD,Project 921-3 (or Project 921-3 either Project 921-3) reusable shuttle system
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,... (2008–present),Japan Aerospace Exploration Agency,H-II Transfer Vehicle and small space laboratory,宇宙飛行士 (in Japanese) uchūhikōshi or アストロノート astoronoto,TBD,TBD,H-IIB
//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/23px-Flag_of_Iran.svg.png Iran," Iranian Space Agency (2005-2017, on hold) ",Iranian Space Agency,Iranian crewed spacecraft,,TBD,TBD,TBD
//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/23px-Flag_of_North_Korea.svg.png North Korea,National Aerospace Development Administration (2010s-present),National Aerospace Development Administration,National Aerospace Development Administration,,TBD,TBD,Unha
