Company,Software,On-demand scan,Real-time protection,Firewall (computing),Antispam,Web protection,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,Software license,Price,First release,Country of origin,Notes
Intego,VirusBarrier,Yes,No,Yes,No,No,No,No,No,No,Yes,Proprietary software,Non-free,1997,United States,Discontinued
NortonLifeLock,Norton Mobile Security,No,No,No,No,No,Yes,No,Yes,No,Yes,Proprietary software,Non-free,2011,United States,
Bitdefender,Bitdefender Mobile Security,No,No,No,No,No,Yes,No,No,No,No,Proprietary software," Free, In-App Purchases for VPN",2018,Romania,
Seqrite,MSuite MDM (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Non-free,1994,India,
