Integrated development environment,Software license,Software developer,Latest stable Software release,Microsoft Windows,Linux,MacOS,Platform (computing)
Microsoft Visual Studio,Proprietary software Community Edition: Proprietary software,Microsoft," 16.0.2  / April 18, 2019 ",Yes,No,No,
MonoDevelop,LGPL,Xamarin and the Xamarin community,"  6.1.2.44 / November 11, 2016 ",Yes,Yes,Yes," FreeBSD, FreeBSD, FreeBSD "
SharpDevelop,LGPL,IC#Code Team,"  5.1 / April 14, 2016 ",Yes,No,No,
SlickEdit,Proprietary software,SlickEdit,October 2016,Yes,Yes,Yes," Solaris (operating system), Solaris (operating system), Solaris (operating system), Solaris (operating system) "
Understand (software),Proprietary software,SciTools,"  814 / December 4, 2015 ",Yes,Yes,Yes,Solaris (operating system)
Visual Studio Code,source code(MIT License) - binary(MIT License),Microsoft,"  1.40.1 / November 13, 2019 ",Yes,Yes,Yes,
Xamarin Studio,source code(MIT License) - binary(MIT License),Microsoft,December 2016,Yes,Yes,Yes,
Eclipse (software),Eclipse Public License,Eclipse Foundation," 4.7  / June 28, 2017 ",Yes,Yes,Yes,
Rider (software),Proprietary software,JetBrains," 2017.2  / October 12, 2017 ",Yes,Yes,Yes,
