Model,Launch,Code name,Semiconductor device fabrication (Semiconductor device fabrication)Semiconductor device fabrication,Computer bus Computer bus,Core clock (Hertz),Memory clock (Hertz),Core config1,Fillrate,,,,Memory,,,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (Megabyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit)
GeForce3 Ti200," October 1, 2001 ",NV20,TSMC 150 nm,AGP 4× PCI,175,200,4:1:8:4,700,700,1400,42.75,64 128,6.4,DDR,128
GeForce3," February 27, 2001 ",,,,200,230,,800,800,1600,50,64,7.36,,
GeForce3 Ti500," October 1, 2001 ",,,,240,250,,960,960,1920,60,64 128,8,,
