Client,Message file format,Encrypted database,Virtual folder,Scheduled backup,New mail notification,,,,Customizable interface,Customizable keybindings,Fragmented messages [Note 1],Database search with Regular expression support,Indexed search,Search folders [Note 2],IMAP,,,
,,,,,ticker,tray icon,tooltip,sound,,,,,,,Search,IDLE
Mozilla Thunderbird," Mbox, Mbox ",No,Yes,?,?,Yes,Yes,Yes,Yes [Note 9],?,No,?,Yes (as of 3.0),Yes,Yes,Yes
Mulberry (email client),Mbox Mbox,Partial [Note 11],Partial [Note 11],Partial [Note 11],?,?,?,?,Yes,?,?,Yes[ Wikipedia:Citing sources ],Partial [Note 11],No,Yes,No
Mutt (email client)," Mbox, Mbox, Mbox, Mbox ",Yes (with compressed folders patch[36]),? (has limit command),No,?,?,?,?,Yes,Yes,?,Yes,Yes[Note 12],Yes[Note 12],Yes,Yes
Netscape Messenger,Mbox,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Netscape Messenger 9,Mbox,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
MH Message Handling System,MH,No,Yes,No,No,?,?,?,Yes,Yes,?,Yes,Yes,Yes,No,?
Opera Mail," Mbox, Mbox, Proprietary ",No,Yes  (all folders are virtual),No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?,Yes
Outlook Express,Proprietary,No,No,No,?,Yes,No,Yes,No,No,Yes,?,No,?,?,Yes
Pegasus Mail,Proprietary (mbox-like),No,Yes,No,?,Yes,Yes,Yes,Yes,?,?,Yes,?,Yes,Yes,No[39]
Pine (email client)," Mbox, mbx, Mbox, Mbox (with patches), Mbox, tenex, mtx, Mbox, mx, news, phile ",?,?,?,?,?,?,?,?,?,?,?,?,?,?,No
Pocomail,mbox,Yes,Yes,Yes,?,?,?,?,Yes,?,?,Yes,Yes,Yes,?,?
RoundCube,[IMAP Server],?,?,?,Yes,No,No,Yes,Yes,Yes,?,?,?,Yes,Yes,?
Scribe Mail,Proprietary format (Proprietary format),No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
SeaMonkey Mail &amp; Newsgroups,Mbox,?,?,?,Yes,Yes,Yes,Yes,?,?,?,?,?,?,Yes,Yes
SquirrelMail,[IMAP Server],?,?,?,Yes,No,No,Yes,Yes,Yes,?,?,?,Yes,Yes,?
Sylpheed,MH Message Handling System,No,Yes,No,?,Yes,?,?,Yes,Yes,No,No [Note 13],No [Note 13],Yes,?,No
The Bat!,Proprietary,Yes (AES 128 bit) (with Pro and Voyager version) AES 128,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes (PCRE 6.2),No,Yes,Yes,Yes
Trojitá,IMAP,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes
Turnpike (software),Proprietary,Yes,Yes,?,?,?,?,?,?,?,Yes,?,?,Yes,?,?
Windows Live Mail,File System (.eml),No,No,No,No,Yes,?,Yes,Yes,No,Yes,No,Yes,Yes,?,?
Windows Mail,?,?,?,?,?,?,?,Yes,?,?,?,?,?,?,?,Yes
YAM (Yet Another Mailer)," Mbox, Mbox, oe-dbx ",No,No,No,?,?,Yes,Yes,Yes,No,No,No,No,No,No,No
Zimbra,File system,No,Yes,Yes,?,?,?,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Client,Message file format,Encrypted database,Virtual folder,Scheduled backup,New mail notification,,,,Customizable interface,Customizable keybindings,Fragmented messages [Note 1],Database search with Regular expression support,Indexed search,Search folders [Note 2],IMAP,,,
