Statements,Java,C#
Loop (computing),Yes,Yes
Conditional (programming),Yes,Yes
Flow control,Yes,Yes
Assignment (computer science),Yes,Yes
Exception control,Yes,Yes
Variable declaration,Yes,Yes
Variable type inference,Yes[42],Yes
Deterministic disposal (ARM-blocks),Yes,Yes
