Product,Multi-column mode,Styles (bold/italic/etc.),Page Turn Effects,Themes,Day/Night mode,Enable/Disable sleep mode,Brightness Control,Indent paragraph,Enable/Disable CSS,Enable/Disable hyphenation,Customize margins,Customize text alignment,Customize font,Customize spacing: line/paragraph
Apabi Reader (page does not exist),Yes,Yes,Configurable,Yes,Yes,Yes,Vertical swipe,Yes,Yes,Yes,No,Yes,Yes,Yes
Blio,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Justification only,Yes,No
Bluefire Reader,No,Yes,Yes,Yes,Yes,No,Vertical swipe,No,Yes,No,Pre-set choices only,Justification only,Yes,Line only
DL Reader (page does not exist),Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Pre-set choices only,Justification only,Yes,No
EBookMobi (page does not exist),Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No
Ebook Reader (page does not exist),No,Yes,Yes,No,Yes,(Disabled by default),Yes,No,No,No,No,No,Yes,No
I2Reader (page does not exist),Yes,Buggy,Yes,Yes,Using styles,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
IBooks,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No
Amazon Kindle,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Pre-set choices only,Yes,Yes,Line; pre-set choices only
Kobo eReader,No,Yes,Yes,No,Yes,No,Vertical swipe,No,Yes,No,No,Yes,Yes,No
KyBook,Yes,Yes,Yes,Yes,Using themes,No,Yes,Yes,Configurable,Yes,Yes,Yes,Yes,Yes
KyBook 2,Yes,Yes,Yes,Using themes,Yes,Yes,Yes,Configurable,Yes,Yes,Yes,Yes,Yes,Yes
MapleRead,Configurable,Yes,Configurable,Configurable,Configurable,Yes,Vertical swipe,Configurable,Yes,Yes,Yes,Yes,Yes,Yes
Marvin,Configurable,Yes,Configurable,Yes,Yes,Yes,Vertical swipe,Yes,Configurable,Yes,Yes,Yes,Yes,Yes
MegaReader (page does not exist),Configurable,Buggy,Configurable,Yes,Using themes,Yes,Vertical swipe,No,No,No,Yes,Yes,Yes,Line only
PocketBook reader (page does not exist),Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No
ShuBook (page does not exist),No,Buggy,Configurable,Yes,Yes,Yes,Vertical swipe,Configurable,No,Yes," None, small, large ",Yes,Yes,Yes
Lexcycle Stanza,No,Yes,Configurable,Yes,Yes,Yes,Vertical swipe,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UBooks XL (page does not exist),No,Buggy,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
IBouquiniste (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
