Unit,Base,American,British,ANZAC,Soviet,French,German,Italian,Japanese
Artillery,10.5 cm leFH 18,,,,,,1942 Second Edition,,
,8.8 cm FlaK 18/36/37/41,,,,,,Europe,Europe 1940,
,M101 howitzer,Europe,Europe,Pacific 1940,Europe,Europe 1940,,,
,152 mm howitzer-gun M1937 (ML-20),,,,Europe 1940 Second Edition,Europe 1940 Second Edition,,,
,BL 5.5 inch Medium Gun,,,1942 Second Edition,,,,,
,Cannone da 75/32 modello 37,,,,,,,Europe 1940 Second Edition,
,Ordnance QF 25 pounder,,1942 Second Edition,,,,,,
,Type 92 Battalion Gun,,,,,,,Anniversary,Pacific
Mechanized Infantry,M3 Half-track,Pacific 1940,Pacific 1940,Pacific 1940,,,,,
,M7 Priest,,Pacific 1940 Second Edition,,,,,,
,Kangaroo (armoured personnel carrier),,,Pacific 1940 Second Edition,,,,,
,Sd.Kfz. 251,,,,,,Pacific 1940,Pacific 1940,Pacific 1940
,SPA Dovunque 35,,,,,,,Pacific 1940 Second Edition,
,Type 1 Ho-Ki,,,,,,,,Pacific 1940 Second Edition
,ZIS-5 (truck),,,,Pacific 1940,Europe 1940,,,
Tank,Sentinel tank,,,Pacific 1940 Second Edition,,,,,
,Iosif Stalin tank,1941,1941,,1941,,,,
,Fiat M14/41,,,,,,,Anniversary,
,M15/42 tank,,,,,,,Europe 1940 Second Edition,
,Matilda II (tank),,Anniversary,Pacific 1940,,,,,
,Panther tank,,,,,,Europe,Europe 1940,
,M4 Sherman,Europe,Europe,,,,,,
,T-34,,,,Pacific,Europe 1940,,,
,Tiger I,,,,,,1941,,1941
,Type 95 Ha-Go,,,,,,,,Pacific
Truck,GMC CCKW,Battle of the Bulge,,,,,,,
,Opel Blitz,,,,,,Battle of the Bulge,,
Antiaircraft Gun,(Generic),Guadalcanal,,,,,,,Guadalcanal
,QF 3.7 inch AA gun,,1942 Second Edition,,,,,,
,8.8 cm FlaK 18/36/37/41,,,,,,1942 Second Edition,,
,Type 88 75 mm AA Gun,,,,,,,,1942 Second Edition
,85 mm air defense gun M1939 (52-K),,,,1942 Second Edition,Europe 1940 Second Edition,,,
,90 mm Gun M1/M2/M3,1942 Second Edition,,,,,,,
,Bofors 40mm,,,Pacific 1940 Second Edition,,,,,
,Cannone da 90/53,,,,,,,Pacific 1940 Second Edition,
Transport,Baltic Timber Ship,,,,Europe 1940 Second Edition,Europe 1940 Second Edition,,,
,Fort-class replenishment oiler (page does not exist),1941,1941,,1941,,,,
,USS Federal (ID-3657),,,,,,,,Pacific
,German auxiliary cruiser Michel,,,,,,Europe,Anniversary,
