Format,Languages
"  name[index] or name[index1, index2] etc. "," ALGOL 58, ALGOL 58, ALGOL 58, ALGOL 58, ALGOL 58, ALGOL 58, ALGOL 58, ALGOL 58, ALGOL 58ALGOL 58 "
name[index] or name[index1; index2] etc. or index⌷name or index1 index2⌷name etc.,APL (programming language)
name[index]," ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript (NSArray *), ActionScript,ActionScript ActionScript,ActionScript ActionScript, ActionScript,ActionScript ActionScript, ActionScript "
$name[index]," Perl,Perl Perl, Perl,Perl Perl/PerlPerl "
@name[index],Raku (programming language)
"  name(index) or name(index1, index2) etc. "," Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language) "
$name(index),XPath/XPathXPath
name.(index),OCaml
name.[index],F Sharp (programming language)
name/index,Red (programming language)
name ! index,Haskell (programming language)
$name ? index,XPath/XPathXPath
(vector-ref name index),Scheme (programming language)
(aref name index),Common Lisp
(elt name index),ISLISP
name[[index]]," Mathematica,Mathematica Mathematica "
name at:index,Smalltalk
[name objectAtIndex:index],Objective-C (NSArray * only)
index{name,J (programming language)
name.item(index) or name @ index[6],Eiffel (programming language)
