,Video game developerVideo game developer,Software release life cycleSoftware release life cycle,Latest release[nb 3],Dance padDance pad,Modifiers[nb 5],Courses[nb 6],Bombs[nb 7],USB flash driveUSB flash drive
Dance Aerobics,Human Entertainment,1987 ( Dance Aerobics )Dance Aerobics,N/A,10,No,Yes,No,No
Dance Dance Revolution,Konami,1998 ( Dance Dance Revolution ),2019 ( Dance Dance Revolution A20 ),4[nb 9][nb 10][nb 11],Yes,Yes[nb 12],Partial [nb 13],Yes  (Dance Dance Revolution X to Dance Dance Revolution X)
List of Pump it Up video games,Andamiro,1999 ( Pump It Up (video game series) ) Pump It Up (video game series),2019 ( Pump It Up XX )," 5 for single, 10 for double[nb 14] ",Yes,Yes,Yes,Yes
Dance Maniax,Konami,1999 ( Dance Maniax ),2000 ( Dance Maniax ),0  (4 hand sensors),Yes,Yes,No,No
3DDX,NGG Entertainment (page does not exist),2000 ( 3DDX ),N/A,4,?,?,?,?
EZ2Dancer,AmuseWorld (page does not exist),2000 ( EZ2Dancer ),2004 ( EZ2Dancer SuperChina ),3  (2 hand sensors),?,?,?,?
ParaParaParadise,Konami,2000 ( ParaParaParadise ),2000 ( ParaParaParadise ),0  (8 hand sensors),?,?,?,?
TechnoMotion,F2 Systems (page does not exist),2000 ( TechnoMotion ),( TechnoMotion ),8,Yes,No,No,No
Dance: UK (page does not exist),Broadsword Interactive Limited (page does not exist),2003 ( Dance:UK (page does not exist) ),N/A,8,?,?,?,?
EyeToy: Groove,SCE London Studio,2003 ( EyeToy: Groove ),N/A,0  (6 virtual hand sensors),No,No,No,No
In The Groove (series),Roxor Games,2004 ( In The Groove (video game) ),2005 ( In The Groove 2 ),4[nb 9][nb 10],Yes,Yes,Yes,Yes
MC Groovz Dance Craze,Mad Catz,2004 ( MC Groovz Dance Craze ),N/A,8,?,?,?,No
Dance Praise,Digital Praise,2005 ( Original Dance Praise ),2007 ( Dance Praise 2: The ReMix ),4[nb 9],No,Partial[nb 15],Yes,No
StepMania,MIT License,1998 ( StepMania ),( StepMania 5 (page does not exist) ),3-10,Yes,Yes,Yes,Yes
Performous,GPL License,2009,2010,8,No,No,Yes,Yes
Dance 86.4 Funky Radio Station,Konami,2005 ( Dance 86.4 Funky Radio Station ),N/A,3,?,?,Yes,?
Mungyodance (page does not exist),Empathetic Gaming (MGD/MGD2)   Monakai (MGD3),2005 ( Mungyodance ),2008 ( Mungyodance 3 The Third Rave ),4,Yes   (limited),Yes,Yes,Yes
Cyber coach,Quick Controls Ltd,2007 ( Cyber coach ),N/A,8 [3],?,?,?,?
Pump It Up (video game series),Fun in Motion,2007 ( Pump It Up Pro ),2014 ( Pump It Infinity ),5[nb 14],Yes,Yes[nb 16],Yes,Yes
