Country,Spacecraft,Power,Thrust,Specific impulse,Year launched
//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png South Korea,DubaiSat-2,0.3 kW,7 mN,1000s,2013
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China," Shijian 17 (HEP-100MF, magnetic focusing hall thruster) ",1.4 kW,,1850s,2016
,Shijian 17 (LHT-100),1.35 kW,80 mN,1600s,
