Generics,Java,C#
Implementation,Type erasure,Reification (computer science)
Runtime realization,No,Yes
Covariance and contravariance (computer science),Covariance and contravariance (computer science),Covariance and contravariance (computer science) (only on interfaces)
Reference type constraint,Yes; implicit,Yes
Value/primitive type constraint,No,Yes
Constructor constraint,No,Yes (only for parameterless constructor)
Bounded quantification,Yes,Yes
Wildcard (Java),Yes,No
Migration compatibility,Yes,No
