John McCain,,Barack Obama,
" On February 18, 2007, John McCain stated, ""I do not support Roe versus Wade. It should be overturned.""[172] McCain believes that Roe v. Wade should be overturned and that the issue of abortion should be returned to the states. ",," In his write-in response to a 1998 survey, Obama stated his abortion position as: ""Abortions should be legally available in accordance with  Roe v. Wade .""Roe v. Wade While serving in the Roe v. Wade, Obama voted against bills that included Roe v. Wade bans. In the presidential debate of October 16, 2008, he argued that partial birth abortions were already illegal, and he does not support the practice in accordance with Illinois law.[ Roe v. Wade ] He has received a 100 percent rating from the Illinois Roe v. Wade CouncilRoe v. Wade ",
Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
Baldwin would encourage Congress to pass Ron Paul's Sanctity of Life Act. Would deny federal funds to abortion clinics.Ron Paul,," McKinney supports full reproductive rights for women, including safe access to comprehensive prenatal and postnatal/infant care; family planning services and contraception, including ""morning after"" medication; and abortion. She rejects forced, coerced, or uninformed medication and sterilization, and supports Single-payer universal healthcare.Single-payer universal healthcare "," Nader is opposed to legal restrictions on abortion, ""I don't think government has the proper role in forcing a woman to have a child or forcing a woman not to have a child... This is something that should be privately decided with the family, woman, all the other private factors of it, but we should work toward preventing the necessity of abortion.""[176] "
