Model,Code nameCode name,Fab (Nanometer),Computer bus Computer bus,Core clock (Hertz),Boost clock (Hertz),GPU cache GPU cache (GPU cache),Core config1,Fillrate,,Memory,,,,,Processing power (GFLOPS),,,Supported Application programming interface version,,,,,Thermal design power (Watts),Notes
,,,,,,,,Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Gigabyte),Bandwidth (Gigabyte/s),Memory clock (Hertz),Bus type,Bus width (Bit),Single precision floating-point format,Half-precision floating-point format Half-precision floating-point format,Double precision floating-point format,Direct3D,OpenGL,Vulkan (API),OpenCL,CUDA,,
Quadro T1000[224],TU117(N19P-Q1-A1),12,PCIe 3.0,1395,1455,1,768:48:32:12:1536,46.56,69.84,4,128,2000,GDDR5,128,2235,,69.84,12.1,4.6,1.2,1.2,7.5,40-50,
Quadro T2000[224],TU117(N19P-Q3-A1),,,1575,1785,,1024:64:32:16:2048,57.1,114.2,,,,,,3500,,,,,,,,60,
Quadro T2000 Max-Q,TU117,,,,,,,,,,,,,,,,,,,,,,40,
Quadro RTX 3000[224],TU106(N19E-Q1-KA-K1),,,945,1380,4,2304:144:48:36:288,88.32,198.7,6,448,1750,GDDR6,256,6359,12720,198.7,,,,,,60-80,
RTX 3000 Max-Q[225],TU106,,,600,1215,,,77.76,175.0,,416,1625,,,5599,11200,175.0,,,,,,60,
Quadro RTX 4000[224],TU104(N19E-Q3-A1),,,1110,1560,,2560:160:64:40:320,99.84,249.6,8,448,1750,,,7987,15970,249.6,,,,,,110,
RTX 4000 Max-Q[226],TU104,,,780,1380,,,88.32,220.8,,416,1625,,,7066,14130,220.8,,,,,,80,
Quadro RTX 5000[224],TU104(N19E-Q5-A1),,,,,3072:192:64:48:384,98.88,296.6,16,448,1750,9492,,,18980,296.6,110,,,,,
Quadro RTX 5000 Max-Q[227],TU04,,,600,1350,,86.40,259.2,,,,8294,,,15970,259.2,80,,,,,,,
