Language,In-line comment,Block comment
" Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), ANSI Ada (programming language), and Ada (programming language) ",--  InlineComment,
Algol 60,,comment  BlockComment ;
Algol 68,,¢  BlockComment  ¢  comment  BlockComment  comment  co  BlockComment  co  #  BlockComment  #  £  BlockComment  £
APL (programming language),⍝  InlineComment,
AppleScript,--  InlineComment,(*  BlockComment  *)
Assembly language (varies),;  InlineComment    one example (most assembly languages use line comments only),
AutoHotkey,;  InlineComment,/*  BlockComment  */
" AWK (programming language), AWK (programming language), AWK (programming language), AWK (programming language), AWK (programming language), AWK (programming language), AWK (programming language), and AWK (programming language) ",#  InlineComment,<#  BlockComment  #>
BASIC programming language (various dialects):,' InlineComment  (not all dialects)  REM  InlineComment,
" C (programming language) (K&amp;R, ANSI/C89/C90), C (programming language), C (programming language), and C (programming language) ",,/*  BlockComment  */
" C (programming language), C (programming language), C (programming language), C (programming language) and C (programming language) ",//  InlineComment,/*  BlockComment  */
C Sharp (programming language),//  InlineComment  ///  InlineComment  (XML documentation comment),/*  BlockComment  */ /**  BlockComment  */ (XML documentation comment)
COBOL I to COBOL 85,*  InlineComment  (* in column 7),
COBOL 2002,*>  InlineComment,
Curl programming language,||  InlineComment,|#  BlockComment  #|  |foo#  BlockComment  #|
Cobra (programming language),#  InlineComment,/#  BlockComment  #/ (nestable)
D programming language,//  InlineComment  /// Documentation  InlineComment  (Ddoc comments)," /*  BlockComment  */ /** Documentation  BlockComment  */ (Ddoc comments)  /+  BlockComment  +/ (nestable) /++ Documentation  BlockComment  +/ (nestable, Ddoc comments)  "
DIGITAL Command Language,$!  InlineComment,
" ECMAScript (ECMAScript, ECMAScript, etc.) ",//  InlineComment,/*  BlockComment  */
Forth (programming language),\  InlineComment,(  BlockComment  ) (single line as well as multiline)  (  before  --  after  ) stack comment convention
FORTRAN I to FORTRAN 77,C  InlineComment  (C in column 1),
Fortran 90,!  InlineComment,
Haskell (programming language),--  InlineComment,{-  BlockComment  -}
Java (programming language),//  InlineComment,/*  BlockComment  */  /**  BlockComment  */ (Javadoc documentation comment)
Lisp (programming language) and Lisp (programming language),;  InlineComment,#|  BlockComment  |#
Lua (programming language),--  InlineComment,--[==[  BlockComment ]==] (variable number of = signs)
Maple (software),#  InlineComment,(*  BlockComment  *)
Mathematica,,(*  BlockComment  *)
Matlab,%  InlineComment,%{  BlockComment (nestable)  %} Note: Both percent–bracket symbols must be the only non-whitespace characters on their respective lines.
Nim (programming language),#  InlineComment,#[  BlockComment  ]#
Object Pascal,//  InlineComment,(*  BlockComment  *) {  BlockComment  }
OCaml,,(*  BlockComment (* nestable *)  *)
" Pascal (programming language), Pascal (programming language), Pascal (programming language), Pascal (programming language), and Pascal (programming language): ",,(*  BlockComment  *)
Perl and Perl,#  InlineComment,=begin  BlockComment  =cut (=end in Ruby) (Plain Old Documentation documentation comment)  __END__  Comments after end of code
PHP,#  InlineComment  //  InlineComment,/*  BlockComment  */ /** Documentation  BlockComment  */ (PHPDoc)
PILOT,R: InlineComment,
PLZ/SYS (page does not exist),,!  BlockComment  !
PL/SQL and PL/SQL,--  InlineComment,/*  BlockComment  */
Prolog,%  InlineComment,/*  BlockComment  */
Python (programming language),#  InlineComment," '''  BlockComment  ''' """"""  BlockComment  """"""  (Docstring when first line of module, class, method, or function)  "
Raku (programming language),#  InlineComment,#`{  BlockComment  }  =comment      This comment paragraph goes until the next POD directive       or the first blank line. [20][21]
Red (programming language),;  InlineComment,{  BlockComment  }
Rust (programming language)," //  InlineComment   ///  InlineComment  (""Outer"" rustdoc comment)  //!  InlineComment  (""Inner"" rustdoc comment)  "," /*  BlockComment  */ (nestable)  /**  BlockComment  */ (""Outer"" rustdoc comment)  /*!  BlockComment  */ (""Inner"" rustdoc comment)  "
SAS System,,*  BlockComment ; /*  BlockComment  */
Seed7,#  InlineComment,(*  BlockComment  *)
Simula,,comment  BlockComment ; !  BlockComment ;
Smalltalk,," "" BlockComment "" "
Smarty (template engine),,{*  BlockComment  *}
Standard ML,,(*  BlockComment  *)
" TeX, TeX, TeX, TeX, TeX and TeX ",%  InlineComment,
Texinfo,@c  InlineComment  @comment  InlineComment,
TUTOR (programming language),*  InlineComment   command  $$  InlineComment,
Visual Basic,'  InlineComment  Rem  InlineComment,
Visual Basic .NET,'  InlineComment   '''  InlineComment  (XML documentation comment)  Rem  InlineComment,
Visual Prolog,%  InlineComment,/*  BlockComment  */
Wolfram Language,,(*  BlockComment  *)
Xojo,'  InlineComment  //  InlineComment  rem  InlineComment,
