Rank, Country, U.S. equivalents, GDP(Billions of int$)
1, IMG China PRC, IMG United States IMG Canada, 25.398
2, IMG India, IMG California IMG Texas IMG New York IMG Florida IMG Illinois IMG Oregon, 11.321
3, IMG Japan, IMG California IMG Texas IMG New York IMG Florida, 5429
4, IMG Germany (EU), IMG California IMG Texas IMG Mississippi, 4170
5, IMG Russia, IMG California IMG Texas, 4007
6, IMG Indonesia, IMG California IMG Michigan, 3244
7, IMG Brazil, IMG California IMG Michigan, 3240
8, IMG United Kingdom, IMG California IMG Hawaii IMG Utah, 2914
9, IMG France (EU), IMG California IMG Louisiana, 2836
10, IMG Mexico, IMG Texas IMG Pennsylvania, 2458
11, IMG Italy (EU), IMG Texas IMG New Jersey IMG Vermont, 2311
12, IMG Turkey, IMG Texas IMG Michigan, 2173
13, IMG South Korea, IMG Texas IMG Colorado, 2029
14, IMG Spain (EU), IMG Texas IMG West Virginia, 1774
15, IMG Saudi Arabia, IMG Texas IMG West Virginia, 1774
16, IMG Canada, IMG Texas IMG West Virginia, 1769
17, IMG Iran, IMG New York IMG New Mexico, 1645
18, IMG Australia, IMG Florida IMG Utah, 1247
19, IMG Thailand, IMG Florida IMG Nevada, 1234
20, IMG Egypt, IMG Florida IMG Mississippi, 1201
21, IMG Taiwan, IMG Florida IMG Mississippi, 1186
22, IMG Poland (EU), IMG Florida IMG Mississippi, 1121
23, IMG Nigeria, IMG Florida IMG Mississippi, 1119
24, IMG Pakistan, IMG Pennsylvania IMG Idaho, 1255
25, IMG Malaysia, IMG Illinois IMG Mississippi, 931
26, IMG Argentina, IMG Illinois IMG New Mexico, 920
27, IMG Netherlands (EU), IMG Illinois IMG New Mexico, 916
28, IMG Philippines, IMG Illinois IMG North Dakota, 876
29, IMG South Africa, IMG Ohio IMG Mississippi, 766
30, IMG Colombia, IMG Ohio IMG Maine, 714
31, IMG Bangladesh, IMG Ohio IMG Wyoming, 687
32, IMG UAE, IMG Ohio IMG Wyoming, 687
33, IMG Iraq, IMG Ohio IMG Massachusetts, 659
34, IMG Vietnam, IMG New Jersey IMG Wyoming, 647
35, IMG Algeria, IMG North Carolina, 633
36, IMG Belgium (EU), IMG Massachusetts, 529
37, IMG Singapore, IMG Massachusetts, 527
38, IMG Sweden (EU), IMG Virginia, 521
39, IMG Switzerland, IMG Virginia, 517
40, IMG Romania (EU), IMG Maryland IMG Hawaii, 482
41, IMG Kazakhstan, IMG Maryland IMG New Hampshire, 478
42, IMG Hong Kong, IMG Maryland IMG Maine, 455
—, IMG Chile, IMG Maryland IMG Maine, 451
43, IMG Austria (EU), IMG Maryland IMG South Dakota, 440
44, IMG Peru, IMG Indiana IMG Maine, 424
45, IMG Venezuela, IMG Indiana, 381
46, IMG Norway, IMG Indiana, 381
47, IMG Czech Republic (EU), IMG Indiana, 376
48, IMG Ukraine, IMG Indiana, 369
49, IMG Qatar, IMG Tennessee, 348
50, IMG Ireland (EU), IMG Colorado, 344
