Model,Archi- tecture,Chips,Thread processors (total),Bus interface,Memory,,Thermal design power (Watts)
,,,,,Bus type,Size (Gigabyte),
GRID K1[228],Kepler,4× GK107,4× 192,PCIe 3.0 ×16,DDR3,4× 4GB,130
GRID K2[229],,2× GK104-895,2× 1536,,GDDR5,2× 4GB,225
GRID K340,,4× GK107,4× 384,,,4× 1GB,
GRID K520,,2× GK104,2× 1536,,,2× 4GB,
