Agency, Country, Budget (in millions of US $), Year, Ref(s)
China National Space Administration, IMG China, 11000, 2018, [216]
Indian Space Research Organisation, IMG India, 1760, 2020, [217]
Japanese Aerospace Exploration Agency, IMG Japan, 1710, 2017, [218]
Korean Aerospace Research Institute, IMG South Korea, 583, 2016, [219]
Iranian Space Agency and Iranian Space Research Center, IMG Iran, 393, 2018, [220]
Israel Space Agency, IMG Israel, 48, , [citation needed]
Space and Upper Atmosphere Research Commission, IMG Pakistan, 43, 2019, [221]
Philippine Space Agency, IMG Philippines, 38, 2019, [222]
Turkish Space Agency, IMG Turkey, 4.3, 2019, [223]
