Software,APA style,The Chicago Manual of Style/The Chicago Manual of Style,Harvard referencing,MLA Style Manual,Other,Extension method
Bebop,No,No,No,No,none,none
BibBase,Yes,No,No,No,none,none
BibDesk,Yes,yes,No,No,various,BibDesk export templates
Biblioscape,Yes,Yes,Yes,Yes,2000+ styles[ Wikipedia:Citation needed ],Biblioscape format (through GUI)
BibSonomy,Yes,No,Yes,No,none,none
Bibus,Yes,No,No,No," 56 styles, user-contributed ",bibus format (through GUI)
Bookends,Yes,Yes,Yes,Yes,various[ Wikipedia:Citation needed ],?
Citavi,Yes,Yes,Yes,Yes,10600+ styles. Styles can be BibTeX and are BibTeX; any BibTeX style when used with LaTeX.," Citavi format (through GUI), includes conditions and programmable components; GUI "
CiteULike,Yes,Yes,Yes,Yes,various[ Wikipedia:Citation needed ],none
colwiz,Yes,Yes,Yes,Yes,9464 styles,Citation Style Language
EndNote,Yes,Yes,Yes,Yes,6926 styles,EndNote format (through GUI)
JabRef,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
KBibTeX,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
Mendeley,Yes,Yes,Yes,Yes,9464 styles,Citation style language
Paperpile,Yes,Yes,Yes,Yes,9464 styles,Citation style language
Pybliographer,Yes,No,No,No,none,Pybliographer XML
Qiqqa,Yes,Yes,Yes,Yes,9464 styles,BibTeX and BibTeX
ReadCube (now Papers),Yes,Yes,Yes,Yes,9464 styles,BibTeX and BibTeX
refbase,Yes,Yes,Yes,Yes,various polar &amp; marine journals,PHP
RefDB,Yes,Yes,Yes,Yes,21 biomedical &amp; law journals," XML (citestylex.dtd), interactive script "
Reference Manager,Yes,Yes,Yes,Yes,various,Reference Manager format (through GUI)
Referencer,?,?,?,?,?,?
RefME,?,?,?,?,?,?
RefWorks,Yes,Yes,Yes,Yes," 4256, plus CSL styles ",RefWorks format (through GUI); GUI
SciRef,Yes,Yes,Yes,Yes,various,SciRef format (through GUI)
Sente,Yes,Yes,Yes,Yes,various,Sente format (through GUI)
Wikindx,Yes,Yes,Yes,Yes," ABNT, APA, British Medical Journal, Chicago, Harvard, British Medical Journal, MLA, Turabian ",Wikindx format (through GUI)
WizFolio,Yes,Yes,Yes,Yes,1000+ styles,WizFolio format (through GUI)
Zotero,Yes,Yes,Yes,Yes,9464 styles,Citation style language
