,John McCain,Barack Obama,Ralph Nader,Bob Barr,Chuck Baldwin,Cynthia McKinney
Gender,Male,Male,Male,Male,Male,Female
Age,72,47,74,59,56,53
List of political parties in the United States,Republican Party (United States),Democratic Party (United States),Independent politician,Libertarian Party (United States) Libertarian Party (United States) (former),Constitution Party (United States) Constitution Party (United States) (former),Green Party (United States) Green Party (United States) (former)
Profession," U.S. Senator, U.S. Senator, Businessman U.S. Senator "," U.S. Senator, U.S. Senator, Professor of Constitutional LawU.S. Senator "," Consumer advocate, Consumer advocate "," Former U.S. Congressman, U.S. Congressman, U.S. Congressman "," Pastor, Syndicated columnist and Syndicated columnist "," Former U.S. Congressman, high school teacher, and college professor "
Undergraduate education,B.S. United States Naval Academy (The Naval Academy had a fixed curriculum and did not allow Midshipmen to pick a major)," B.A. Columbia University (Columbia University, Columbia University) 1983Columbia University "," B.A. Princeton University (Princeton University, Princeton University) 1955 ",B.A. University of Southern California (University of Southern California) 1970,B.A. Liberty University,B.A. University of Southern California (University of Southern California)
Graduate education,National War College,J.D. Harvard Law (1991),L.L.B. Harvard Law (1958)," M.A. George Washington University (George Washington University) (1972), J.D. George Washington University (1977) ",Master's Degree in Theology Theology," M.A. Fletcher School of Law and Diplomacy at Fletcher School of Law and Diplomacy (1982?); diplomatic fellow, Fletcher School of Law and Diplomacy (1984); a PhD student at Fletcher School of Law and Diplomacy "
States/Countries lived in," Arizona, Florida, Arizona, Arizona, Washington, D.C. "," California, Hawaii, Illinois, Indonesia, Illinois, New York, Washington, D.C. "," Connecticut, Washington, D.C. "," California, Georgia (U.S. state), Georgia (U.S. state), Georgia (U.S. state), Georgia (U.S. state), Washington, D.C. "," Indiana, Florida, Indiana "," Georgia (U.S. state), California "
Last political office," Senate career of John McCain, US Senator 2001–present ",United States Senate career of Barack Obama,None,United States Congress,None,United States Congress
Other political experience,United States United States Congress (1982–1986),Illinois State Illinois Senate (1996–2004),Consultant to United States Department of Labor (1964)," Region 4 Representative for the Libertarian National Committee (2006–2008), Libertarian National Committee Board Member, "," Florida Chairman of Moral Majority (1980–1984), 2004 Moral Majority Vice Presidential nominee "," Member of the Georgia (U.S. state) Georgia (U.S. state), (1988–1992) "
U.S. Senate committee memberships,United States Senate Committee on Armed Services; (Chairman of the) United States Senate Committee on Armed Services; (Chairman of the) United States Senate Committee on Armed Services; United States Senate Committee on Armed Services," United States Senate Committee on Health, Education, Labor, and Pensions, United States Senate Committee on Health, Education, Labor, and Pensions; United States Senate Committee on Health, Education, Labor, and Pensions; United States Senate Committee on Health, Education, Labor, and PensionsUnited States Senate Committee on Health, Education, Labor, and Pensions ",Advised auto safety subcommittee (1964),None,None,None
U.S. House committee memberships," United States House Committee on the Judiciary, United States House Committee on the Judiciary, United States House Committee on the Judiciary ",None,None," United States House Committee on the Judiciary, United States House Committee on the Judiciary, United States House Committee on the Judiciary, United States House Committee on the Judiciary ",None," United States House Committee on Natural Resources, United States House Committee on Natural Resources; United States House Committee on Natural Resources; United States House Committee on Natural Resources, United States House Committee on Natural Resources "
Management/Corporate experience,Vice President of Public Relations for Hensley &amp; Co.," President of the Barack Obama; Junior editor for Barack Obama; Associate Lawyer of Davis, Miner, Barnhill &amp; Galland ",None,President of the Southeastern Legal Foundation," Founded/lead Crossroad Baptist Church, Pensacola (1975–) ",
Teaching experience," Gave the 114th Kansas State University on March 15, 1999 at Kansas State UniversityKansas State University ",Lecturer in Constitutional Law at the University of Chicago Law School (1993–2004),Professor of History and Government (University of Hartford)," Adjunct professor teaching ""Privacy and Public Policy in 21st century Business and Society"" at Kennesaw State University (2008) "," Pastor of Crossroad Baptist Church, Pensacola (1975–) ",Earth Day Lecturer at Earth Day (2008)
Armed Forces experience," (Early life and military career of John McCain) Early life and military career of John McCain, US Naval Academy; Early life and military career of John McCain; Early life and military career of John McCain; Early life and military career of John McCain; Early life and military career of John McCain, Early life and military career of John McCain ",None,US Army (1959),None,,None
Armed Forces awards," Silver Star, Silver Star, Silver Star, Silver Star, Silver Star and the Silver Star from Silver Star ",None,None,None,,None
Net worth (with spouse),$23–36 million (US$)[7],$10–16 million (US$)[8],$4 million (US$)[9],,," $50,000 (US$)[10] "
Spouse,Cindy Hensley McCain (m. 1980),Michelle Obama (m. 1992),None,Jeri Barr (m. 1986),Connie Cole Baldwin (m. 1973),None
Spouse's undergraduate education," B.A. in Education, University of Southern California "," B.A. in Sociology, 1985,Princeton University Princeton University ",n/a,None,,n/a
Spouse's graduate education," M.A. in Special Education,University of Southern California University of Southern California "," J.D. in Law, 1988,Harvard Law SchoolHarvard Law School Harvard Law School ",n/a,None,,n/a
Spouse's profession," High school teacher, businessperson, philanthropist "," Attorney, executive ",n/a," Numerous positions in Cobb, Georgia, Georgia ",,n/a
