Integrated development environment,Software license,Microsoft Windows,Linux,MacOS,Platform (computing),Debugger,GUI builder,Profiler (computer science),Static code analysis,MXML,Export to Mobile (page does not exist)
Adobe Animate Formerly Adobe Flash Professional,Proprietary software,Yes,No,Yes,Java Virtual Machine,Yes,Yes,Yes,Yes,Yes,Yes
Flash Builder,Proprietary software,Yes,No,Yes,Java Virtual Machine,Yes,Yes,Yes,Yes,Yes,Yes
FlashDevelop,MIT License,Yes,No,No,,Yes,No,Yes,No,Yes,Yes
IntelliJ IDEA,Proprietary software,Yes,Yes,Yes," FreeBSD, FreeBSD, FreeBSD ",Yes,No,Yes,Yes,Yes,Yes
Powerflasher FDT,Proprietary software,Yes,Yes,Yes,Java Virtual Machine,Yes,No,Yes,Yes,Yes,Yes
