Product,Paging touch screen,Paging volume key,Backward-forward,Contents table,Bookmarks,Resume,Go to,Search full text,Sync to cloud,Autoscroll by pixel,Autoscroll by line,Autoscroll by page,Scroll speed control,Rolling blind mode,Continuous scrolling
AldikoAldiko,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,No,No,No,No,No,?
AlReader (page does not exist)AlReader (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes
Bookari Ebook Reader Premium (page does not exist)Bookari Ebook Reader Premium (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes
CoolReader,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,?,Yes
EBookDroid (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,?,Yes
Ebook Reader (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
EReader Prestigio (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
FBReaderFBReader,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[17],No,No,No,No,No,No
Google Play Books,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,No
IReader (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes,Yes,No,?
Amazon Kindle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,No
Kobo Books,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,No,No,No,No,No,No
KOReader,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes[18],?,?,?,?,?,Yes
LektzLektz,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,?
Librera (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
Moon+ reader (page does not exist)Moon+ reader (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MReader (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
PocketBook reader (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
Snapplify[21],Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,?
Socio eReader (page does not exist)Socio eReader (page does not exist),Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,?,No,No,No,No,No,?
