Assembler,Operating system,Free and open-source software,Software license,Development active
A86 (software)," Microsoft Windows, Microsoft Windows ",No,Proprietary software,No
Amsterdam Compiler Kit," Linux, Linux, Linux ",Yes,BSD licenses since 2003,1985-? [1]
IBM ALP,OS/2,No,Proprietary software,No
AT&amp;T,Unix System V,No,Proprietary software,1985-?[2]
Digital Research ASM86," CP/M-86, CP/M-86, CP/M-86's CP/M-86 and CP/M-86 ",No,Proprietary software,1978-1992
FASM," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",Yes,BSD licenses with added BSD licenses,Yes
GNU Assembler," Unix-like, Unix-like, Unix-like, Unix-like ",Yes,GNU General Public License,Since 1987
High Level Assembly," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",Yes,Public domain,Yes
" Open Watcom Assembler (HJWASM a.k.a. UASM, JWASM, WASM) "," Linux, Linux, Linux, Linux, Linux "," approved by Open Source Initiative, but not by Open Source Initiative ",Sybase Open Watcom Public License,Yes
Microsoft Macro Assembler," Microsoft Windows, Microsoft Windows, Microsoft Windows ",No,Microsoft Software license agreement,Since 1981[3]
Netwide Assembler," Linux, Linux, Linux, Linux, Linux ",Yes,BSD licenses,Yes
Tim Paterson's ASM," 86-DOS, 86-DOS 86-DOS ",No,Proprietary software,1979-1983
Turbo Assembler," Microsoft Windows, Microsoft Windows ",No,Proprietary software,? [4][5]
Tiny C Compiler," Unix-like, Unix-like ",Yes,GNU Lesser General Public License,Yes
Vasm,various,Yes,Free,Yes
Xenix,Xenix 2.3 and 3.0 (before 1985),No,Proprietary software,1982-1984
Yasm," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",Yes,BSD licenses,No[6]
