Name, Users, Projects, Alexa rank (lower = more popular)
Assembla, Unknown, 526581+[46], 35454 as of 28 July 2020[update][47]
Bitbucket, 5000000[48], Unknown, 1341 as of 28 July 2020[update][49]
Buddy, Unknown, Unknown, 39857 as of 28 July 2020[update][50]
CloudForge, Unknown, Unknown, 402884 as of 28 July 2020[update][51]
Gitea, Unknown, Unknown, 236332 as of 28 July 2020[update][52]
GitHub, 31000000[53], 100000000[53], 78 as of 28 July 2020[update][54]
GitLab, 100000[55], 546000[56][k], 2710 as of 28 July 2020[update][57]
GNU Savannah, 93346[58], 3848[58], 162054 as of 28 July 2020[update][59]
Launchpad, 3965288[60], 40881[61], 11533 as of 28 July 2020[update][62]
OSDN, 54826[63], 6294[63], 8708 as of 28 July 2020[update][64]
Ourproject.org, 6353[65], 1846[65], 1083012 as of 28 July 2020[update][66]
OW2 Consortium, Unknown, Unknown, 1509677 as of 28 July 2020[update][67]
Rosetta code, Unknown, Unknown, 66029 as of 28 July 2020[update][68]
SEUL, Unknown, Unknown, 1602812 as of 28 July 2020[update][69]
SourceForge, 3700000[70], 500000[70], 470 as of 28 July 2020[update][71]
Name, Users, Projects, Alexa rank (lower = more popular)
