Distribution,Working State,Aim,Creator,Producer,Base Distribution,Installed Size (MB),Initial Release Date,Interface,Linux Kernel,Default File System,Architecture Support,Approximate Number of Pre-compiled Packages,Default Package Management Tools,Default Installer
Eeebuntu OS," 2009 Last Release, development stopped  ",Asus Eee PC optimized,Eeebuntu community,,Ubuntu (operating system),,2009-05-15,GNOME or GNOME + Netbook Remix,Array kernel (modified kernel)[2],,,,Advanced Packaging Tool,
CrunchBang Linux 11-20130119,2015-02-06 Development Stopped,Limited hardware machines,Philip Newborough,,Debian,,2013-01-19,Openbox,3.2.35,,x86 + x86_64,,Advanced Packaging Tool,
Debian Eee PC (page does not exist),,Asus Eee PC,,,Debian,,,,,,,,,
Debian Wheezy,,,,,Written from scratch,,,,,," i386, AMD64, PowerPC, SPARC, ARM, MIPS, S390, armhf, s390x. Loongson[3] ",,,
EasyPeasy 1.6," 2012 Last Release, development stopped  ",All netbooks,EasyPeasy Community,Jon Ramvi,Ubuntu (operating system),,2010-04-24,GNOME + Netbook Remix,2.6.32,ext4,x86,,Advanced Packaging Tool,Ubiquity (software)
EeedoraEeedora,,Asus Eee PC 701,Martin Andrews,,Fedora (operating system),,,Xfce,,,,,RPM Package Manager,
Firefly Linux 1.0 Beta 1," 2009 Last Release, development stopped  ",,Firefly Linux community,,Arch Linux,,,LXDE,2.6.29.4,,x86,,Pacman (package manager),
Fuduntu," 2013-04-14 Last Release, development stopped  ",All netbooks[5]," Andrew Wyatt ""Fewt"" ",Fuduntu.org[5],None (Originally based on Fedora (operating system) 14),,2012-10-01,GNOME,3.6.9,ext4,x86[6] + x86_64[7],,RPM Package Manager + RPM Package Manager,
GNewSense,,Free software,Brian Brazil and Paul O'Malley,Sam Geeraerts with sponsorship from the Free Software Foundation,Debian,,,,Linux-libre 2.6.32,," Loongson, Loongson, Loongson ",,Advanced Packaging Tool,Ubiquity (software)
Joli OS 1.2 (formerly named Jolicloud)," 2013-11-22 Last Release, development stopped ",All netbooks[8],Joli OS,Joli OS,Ubuntu (operating system),,2011-03-09,HTML5 + HTML5,2.6.35.10,ext4,x86,,Advanced Packaging Tool,
Kuki Linux (page does not exist) 2.0," 2009 Last Release, development stopped  ",Aspire One optimized,Kuki Linux community,,Ubuntu (operating system),,,Xfce,,,,,,
Linux4One 1.5,,Aspire One optimized,Linux4One community,,Ubuntu (operating system),,,GNOME or GNOME,,,,,,
Leeenux Linux v10,2016 Last Release,All netbooks,Aleksandar Ciric,,Ubuntu 16.04 LTS,,," LXDE, XFCE ",,ext4," x86, AMD64 ",," APT, Synaptic, Software center ",Ubiquity
Lubuntu 15.10,2015-10-22 Active Development,Limited hardware machines,Lubuntu Community and LXDE Foundation,,Ubuntu (operating system),,2011-10-13,LXDE,,,,,Synaptic package manager,
Manjaro Netbook Edition[9],2015-07-25 Active Development,All netbooks,Rob McCathie,Manjaro Linux,Arch Linux,,,Xfce,Intel Atom-optimized Manjaro kernel,ext4," x86, x86_64 ",,Pamac (graphical frontend for Pacman package manager),
Midinux (page does not exist),,All netbooks,Red Flag Linux,,,,2007,,,ext3,x86,,,
MeeGo 1.2," 2012 Last Release, development stopped  "," Intel Atom processor netbooks, Nokia ARM smartphones "," Intel, Intel, Intel community "," Intel, Intel, Intel ",None (it is a distribution developed out of Maemo and Moblin),,2010-10-28," ""Netbook User Experience"" (based on Clutter (toolkit)) ",2.6.35,Btrfs,x86 with SSSE3 support,,RPM Package Manager,
Moblin 2.1," 2009-04 Last Release, development stopped  ",All Intel Atom processor netbooks and Intel Atom,Intel,Intel/Intel,None (borrows components for various distributions[10]),,2009-11-04,Clutter (software),,,,,RPM Package Manager (may changeRPM Package Manager),
OpenGEU 8.10," 2012-08 Last Release, development stopped  ",,Luca De Marini,,Easy PeasyEasy Peasy,,2009-03-23,Enlightenment (window manager) plus Enlightenment (window manager),2.6.27,ext3,x86,26000,Advanced Packaging Tool,Ubiquity (software)
Puppeee Linux (page does not exist) 4.3X,Linpus is 64-bit only,Asus Eee PC with Intel Chipsets,Jemimah Ruhala,,Puppy Linux,200MB,,Choice of IceWM / OpenBox / Flwm with ROX-Filer / PcManFM / LxLauncher,2.6.33,AUFS + SquashFS + EXT2,Atom / CeleronM,,Pet,PetGet
Trisquel," 2014-11 Last Release, development stopped  ",Limited hardware machines,,,Trisquel,,2010-09,,,,,,,
Ubuntu Netbook Edition 10.10," 2010-10 Last Release, development stopped  ",Intel Atom processor netbooksIntel Atom,Canonical Ltd.,Canonical Ltd.,Ubuntu (operating system),,2010-10-10,Unity (desktop environment),2.6.32,,x86,32000,Advanced Packaging Tool,
