System,Creator,Software license,Platform,First Release Date,Features,Integration
Clarizen,Clarizen,Software as a service,Web-based,2007," Project Management, Professional Services Automation, Social Collaboration, Resource Management, Resource Planning, Workflow Automation, Time Tracking, Issue Management, Budget Management "," Salesforce.com, Box.com, Google Drive, Intaact, Intuit Quickbooks, iCal, JIRA, Microsoft Exchange, Microsoft Excel, Microsoft Outlook "
FinancialForce PSA,FinancialForce.com,Software as a service,Cloud-based application running natively on Cloud,2010," Includes timecards, expenses, project management, resource management, sales collaboration, resource planning, project accounting, mobile and reporting. "," FinancialForce Accounting, FinancialForce Apps, Salesforce CRM, Salesforce Apps, via API "
Kimble (app),Kimble (app),Software as a service,Cloud computing-based application running 100% native to Cloud computing,2011," Professional services automation including Professional services automation, Professional services automation, resource planning, project portfolio management, sales collaboration, Professional services automation, invoicing, multi-currency, timecards, Professional services automation, Professional services automation, reporting and KPI dashboards. Mobile apps available for iOS and Android "," Salesforce.com, Salesforce.com, Salesforce.com, Salesforce.com (Financials, Enterprise, 50, 200), Salesforce.com, Salesforce.com, Salesforce.com. Custom interfaces through Salesforce.com Salesforce.com "
OpenAir,NetSuite,Software as a service,Cloud computing with mobile app for Cloud computing and Cloud computing,1999," Project Management, Project Management, Project Management, Project Management, project billing and accounting, time management, expense management, invoicing, multi-currency and reporting, and KPI dashboards. Mobile apps for iOS and Android. Vertical solutions for Services industry, Software industry, Advertising, Media and Publishing, as well all many other business sectors. "," Salesforce, NetSuite, Oracle, SAP, Microsoft Dynamics GP and CRM, PeopleSoft, and NetSuite, MS Project, MS Outlook, MS Exchange, QuickBooks, and Flat File/CSV integration using OpenAir Connect, Custom API integrations in NetSuite or NetSuite Web Services. "
Projector,Projector PSA,Software as a serviceSoftware as a service," Cloud computing or Cloud computing application with mobile web apps for iPhone, Android, BlackBerry or Windows Mobile ",2003," Resource scheduling and management, project management, billing review, invoicing, time and expense entry, extensive analytical reporting and dashboards, and integration with accounting, HR, and payroll systems. "," Salesforce.com,Salesforce.com Salesforce.com, Salesforce.com,Salesforce.com Salesforce.com, Intacct and custom integrations through Salesforce.com Salesforce.com  "
QuickBase,Intuit,SaaS,Web-based,2000," Business Process Management, Project Management, Sales Operations &amp; Management, Human Resources &amp; Recruiting, IT Systems &amp; Technology, Customer Service &amp; Support, Training Programs &amp; Management[4] "," QuickBooks, QuickBooks, QuickBooks, Intacct, Netsuite, Zendesk, Zuora "
SAP Business ByDesign,SAP SE,Software as a service,Cloud computing with mobile app for Cloud computing and Cloud computing,2007," Enterprise resource planning with Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, sales collaboration, project invoicing and accounting, time management, expense management, invoicing, multi-currency and reporting, and KPI dashboards. "," SAP, Custom API integrations in XML or XML Web Services, Flat File/CSV integration "
Talygen,Talygen Business Intelligence,Software as a service,Web-based,2009," Project management, time tracking, expense reporting, invoicing, customer relationship management, employee management, cloud storage "," Basecamp Classic, Basecamp Classic, and Basecamp Classic "
Tracker (business software),Automation Centre,Software as a service &amp; Software as a service,Web-based,2006," Integrated modules for project management, resource management, Time tracking software, expense reporting, Time tracking software and invoice generation. "," Quickbooks, Quickbooks, Quickbooks "
Unit4,Unit4 PSA Suite,Software as a Service &amp; Software as a Service," Cloud-based application, mobile for Cloud, and Cloud ",2011," Includes industry solutions, time and task tracking, risk &amp; compliance, HR, CRM, invoicing, rev rec &amp; WIP, Financials "," Microsoft Dynamics 365, Unit4 Business World On! ERP "
Workfront,Workfront,Software as a service,Web-based or On-Premises,2001," Project management tools, time and expense entry, capacity planning, task tracking, ticket tracking, and collaboration environments. "," Oracle Financials, Oracle Financials, Oracle Financials, and Oracle Financials "
