Model (Codename),Launch,Microarchitecture (Microarchitecture),Transistors Die Size,Core,,FillrateFillrateFillrateFillrate,,Processing powerTFLOPSTFLOPS (TFLOPS),,,Memory,,,,Typical board power),Bus interface,Graphic output Port,Release Price (USD)
,,,,Config[e],ClockHertz (Hertz),Texture (Texel (graphics)/s),Pixel (Pixel/s),Half-precision floating-point format,Single precision floating-point format,Double precision floating-point formatDouble precision floating-point format,Bus type &amp; width (Bit),Size (Gibibyte),Clock (Transfer (computing)),Band- width (Gigabyte/s),,,,
Radeon Pro WX 3200 (Polaris)[255],July 2019,Graphics Core Next (14 nm),,,,,,SP,3.3,0.104,GDDR5 128,4,6000,96,50,PCIe 3.0 ×16,4x mini-DP 1.4,$200
Radeon Pro WX 8200 (Vega) [256],August 2018,Graphics Core Next (14 nm),12500×106 484mm2,3584:224:64  (56),1200   1530,342.7,97.92,2x SP,10.967,1/16 SP,HBM2 2048,8,2000,512,<230,PCIe 3.0 ×16,4x mini-DP 1.4,$999
