Client (computing),Client-to-client protocol,Direct Client-to-Client,IPv6,Transport Layer Security,Transport Layer Security,Online Certificate Status Protocol,Revocation list
AndroidChat,No,No,No,No,No,No,No
Mobile Colloquy,Yes[ Wikipedia:Citation needed ],No[ Wikipedia:Citation needed ],Yes[ Wikipedia:Citation needed ],Yes[ Wikipedia:Citation needed ],Yes[ Wikipedia:Citation needed ],No[ Wikipedia:Citation needed ],No[ Wikipedia:Citation needed ]
FIRC (page does not exist),?,?,?,?,?,?,?
JmIrc (page does not exist),Yes,No,No,No,No,No,No
K-IRC (page does not exist),Yes,No,No,No,No,No,No
Virca (page does not exist),?,?,?,?,?,?,?
WIRC (software) (page does not exist),Yes,Yes,No,Yes,Yes,?,?
WLIrc,Yes,Yes,?,No,No,No,?
Yaaic,No[5],?,?,Yes,Yes,?,?
Simple IRC,Yes,Yes,?,Yes,Yes,?,?
ZsIRC,Yes,No,No,Yes,Yes,No,No
