Country,Program,Agency engaged,First orbital manned launch,,,,
,,,Spacecraft,Term(s) for space traveler,First human(s) launched,Date,Launch system
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shuguang (spacecraft) (1968-72),Chinese space program,Shuguang-1 (Intended),宇航员 (in Chinese) yǔhángyuán 航天员 (in Chinese) hángtiānyuán,N/A,N/A,Long March 2A (Intended)
,Project 863 (1978-81),Chinese space program,Fanhui Shi Weixing (Intended),,N/A,N/A,Long March 2 (Intended)
//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Iraq_%281991%E2%80%932004%29.svg/23px-Flag_of_Iraq_%281991%E2%80%932004%29.svg.png Ba'athist Iraq,... (1989-2001)," Space Research Center, Baghdad ",N/A,رجل فضاء (in Arabic) rajul faḍāʼ رائد فضاء (in Arabic) rāʼid faḍāʼ ملاح فضائي (in Arabic) mallāḥ faḍāʼiy,N/A,N/A,Tammouz rocket (page does not exist) (Intended)
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shenzhou program (1992-present),China National Space Administration,Shenzhou 5," 宇航员 (in Chinese) yǔhángyuán 航天员 (in Chinese) hángtiānyuán taikonaut(""太空人"" tàikōng rén)  ",杨利伟 (Yang Liwei),15 October 2003,Long March 2F
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Late 1980s-2003,National Space Development Agency of Japan,HOPE-X,宇宙飛行士 (in Japanese) uchūhikōshi or アストロノート astoronoto,N/A,N/A,H-IIA (Intended)
//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Human Spaceflight Programme (2007-present),Human Space Flight Centre (Human Space Flight Centre),Gaganyaan,Vyomanaut/Gaganaut,TBA,December 2021 (Planned) Before 15 August 2022 (Scheduled),GSLV Mk III (Planned)
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,2008-present,Japan Aerospace Exploration Agency,H-II Transfer Vehicle,宇宙飛行士 (in Japanese) uchūhikōshi or アストロノート astoronoto,TBD,TBD,H-IIB (Planned)
//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/23px-Flag_of_Iran.svg.png Iran," Iranian Space Agency (2005-2017, on hold) ",Iranian Space Agency,Iranian manned spaceship project spaceship,,TBD,TBD,TBD
