,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,
,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
APS-C,Sigma SD9,,,,,,,Sigma SD10,,,,,,,,,,,,,,Sigma SD14,,,,,,,,,,,,,Sigma SD15,,,Sigma SD1,,,,Sigma SD1,,,,,,,,,,,,,,,,,,,,,,,,,,
