Software,Developer,First public release,Latest stable release date,Latest stable version,Cost (USD),Free software,License,Notes
Bebop (software),Advanced Learning and Research Institute,2007-11-08,2009-11-10,1.1,Free,Yes,BSD licenses," web-based BibTeX front-end (Apache, PHP, MySQL) "
BibBase,Christian Fritz,2005,2013-07,v3,Free,No,Proprietary software," centrally hosted website, intended for publication pages "
BibDesk,BibDesk developers,2002-04,2019-06-03,1.7.1,Free,Yes,BSD licenses,BibTeX front-end + repository; BibTeX-based; integration with BibTeX
Biblioscape,CG Information,1997,2015-06-22,10.0.3.6,US$79-299US$,No,Proprietary software,ODBC; web access in Pro ed; optional client/server; discontinued?
BibSonomy,University of Kassel,2006-01,2018-07-30,3.8.13,Free,Yes," GNU Affero General Public License, GNU Affero General Public License, GNU Affero General Public LicenseGNU Affero General Public License ",centrally hosted website
Bibus,Bibus developers,2004-06-03,2013-05-23,1.5.1,Free,Yes,GNU General Public License,discontinued?
Bookends (software),Sonny Software,1988 (Mac) / 1983 (Apple II+),2020-07-04,13.4.3 [3],US$59.99US$,No,Proprietary software," Desktop &amp; iOS synced via iCloud, integrated web search, PDF download, auto-completion, Word plugin, BibTex support, PDF annotations stored as notes "
Citavi,Swiss Academic Software,2006-02-13,2020-07-28,6.5.0.0,US$70-949 / Free for projects up to 100 referencesUS$,No,Proprietary software," data can be saved locally on the computer, or, for team access, in the Citavi Cloud or an intranet Microsoft SQL Server;Microsoft SQL Server search databases from interfaceMicrosoft SQL Server "
CiteULike,Oversity Limited,2004-11,Shut down in 2019-03-30[7],,Free,No,Proprietary softwareProprietary software,centrally hosted website
Colwiz,colwiz Ltd,2011,2016-05-09,,Free / Online storage free up to 3 GB / Additional storage space available,No,Proprietary software," Desktop (Win, Mac, Linux) &amp; Web components, iOS and Android "
EndNote,Clarivate Analytics,1988,2019-06-11,X9.2,US$299.95US$,No,Proprietary software," The web version EndNote basic (formerly, EndNote Web) is free of charge "
JabRef,JabRef developers,2003-11-29,2020-03-10,5.0,Free,Yes,MIT license,Java (programming language) Java (programming language) and Java (programming language) manager
KBibTeX,KBibTeX developers,2005-08,2018-06-21,0.8.1,Free,Yes,GNU General Public License," BibTeX front-end, using the BibTeX "
Mendeley,Elsevier,2008-08,2018,1.19,Free / Online storage free up to 2 GB / Additional storage space available,No,Proprietary software (OS API clients exist)," Account required, Desktop &amp; Web components, Windows, Linux, macOS, iPhone &amp; iPad, Android "
Paperpile," Stefan Washietl, Gregorgy Jordan, Andreas Gruber ",2013,Continually updated online,," US$2.99/month for academics, 9.99/month otherwise ",No,Proprietary software," web-application, integrates with Google Docs, collaboration &amp; sharing features, currently only on Google Chrome "
Pybliographer,pybliographer developers,1998-10-30 (0.2),2018-04-03,1.4.0,Free,Yes,GNU General Public License,Python (programming language)/Python (programming language)
Qiqqa,Qiqqa,2010-04,2016-09,v79," Free, Freemium and Premium versions ",No,Proprietary software,Desktop; Tablet; Web; Intranet
ReadCube (now ReadCube),ReadCube,2011-10,2020-07-14,v.4.4.2," US$ 3/month for students, 5/month academics ",No,Proprietary software," Web-based, MacOS, Windows, iOS and Android apps. Microsoft Word and Google Docs add-in. Browser extension (Chrome, Firefox, Edge) "
Refbase,refbase developers,2003-06-03,2014-02-28,0.9.6,Free,Yes,GNU General Public License,web-based for Institutional repository/Institutional repositoryInstitutional repository
RefDB,refdb developers,2001-04-25,2007-11-05,0.9.9,Free,Yes,GNU General Public License,network-transparent; XML/XML bibliographies
Reference Manager,Thomson Reuters,1984,2010,12.0.3," Not for sale anymore, sales ceased December 31, 2015 ",No,Proprietary software,network version; built-in web publishing tool; discontinued
Referencer,Referencer developers,2008-03-15,2014-02-27,1.2.2,Free,Yes,GNU General Public License,BibTeX front-end
RefME,RefME,2014,Shut down in 2017,,Free,No,Proprietary software," Web, iOS and Android; Chrome and Safari Extensions available; discontinued "
RefWorks,Ex Libris / ProQuest,2001,2018,3,Institutional subscription,No,Proprietary software," web-based, browser-accessed, Word &amp; Google Docs "
SciRef,Scientific Programs,2012,2015-07-26,1.5,US$38.90 / Free trial version,No,Proprietary software,
Sente (software)," Third Street Software, Inc. ",2004,Shut down in 2017,6.7.9,US$60–80US$ / Free for libraries up to 100 refs,No,Proprietary software," Desktop and iPad, centralized backup/synching; discontinued "
Wikindx,Mark Grimshaw,2004-02,2020-07-21,6.3.7,Free,Yes,CC-BY-NC-SA,web-based
WizFolio,WizPatent,2008-06,Shut down in 2017,Avatara,US$25 / Free Basic version,No,Proprietary software,centrally hosted website; discontinued
Zotero,Roy Rosenzweig Center for History and New Media at Roy Rosenzweig Center for History and New Media,2006,2020-07-22,5.0.89 [10],Free / Online storage free up to 300 MB / Additional storage space available,Yes,Affero General Public License," Multi-platform desktop version with connectors for Mozilla Firefox, Mozilla Firefox and Mozilla Firefox. Web-based access to reference library also available through Zotero.org or through a personal cloud-based database folder on a user's computer (Google Drive, Dropbox, etc.). "
