Calculator, TI-BASIC, Native code, Lua, Python
IMG TI-73 TI-73 Explorer, Yes, Yes, No, No
IMG TI-80, Yes, Only using exploits, No, No
IMG TI-81, Yes, Only using exploits, No, No
IMG TI-82, Yes, Only using exploits, No, No
IMG TI-83, Yes, Yes, No, No
IMG TI-83 Plus, Yes, Yes, No, No
IMG TI-83 Plus Silver Edition, Yes, Yes, No, No
IMG TI-83 Premium CE, Yes, Varies by firmware, No, Only with a TI-Python adapter[15]
IMG TI-83 Premium CE Edition Python, Yes, Varies by firmware, No, Yes
IMG TI-84 Plus, Yes, Yes, No, No
IMG TI-84 Plus Silver Edition, Yes, Yes, No, No
IMG TI-84 Plus C Silver Edition, Yes, Yes, No, No
IMG TI-84 Plus CE, Yes, Varies by firmware, No, No
IMG TI-85, Yes, Only using exploits, No, No
IMG TI-86, Yes, Yes, No, No
IMG TI-89, Yes, Yes, No, No
IMG TI-89 Titanium, Yes, Yes, No, No
IMG IMG TI-92 TI-92 II, Yes, Only using exploits, No, No
IMG TI-92 Plus, Yes, Yes, No, No
IMG Voyage 200, Yes, Yes, No, No
IMG TI-Nspire TI-Nspire CAS, Yes, Only using exploits, Yes, No
IMG TI-Nspire CX TI-Nspire CX CAS, Yes, Only using exploits, Yes, No
IMG TI-Nspire CX II TI- Nspire CX CAS II, Yes, Only using exploits, Yes, Yes[16]
