Mail Server,DNSBL,SURBL,Spamtrap,Greylisting (email),Sender Policy Framework,DKIM,DMARC,Tarpit (networking),Bayesian spam filtering,Regular expression,Antivirus,Antispam
Agorum core,No,No,No,No,No,No,No,No,No,Yes,No,No
Apache James,?,?,?,?,?,?,?,?,Yes,?,Yes Clam AntiVirusClam AntiVirus,Optional (Apache Apache)
Axigen,Yes,Yes[30],Yes,Yes,Yes,Yes,?,No," Yes, in SpamAssassin ",Yes,Yes CYREN,Yes CYREN
Citadel/UX,Yes,Yes,No,No,Optional (via SpamAssassin),?,?,No,Optional (via SpamAssassin),No,Optional (Clam AntiVirus),Optional (SpamAssassin)
Courier Mail Server,Yes,?,Yes,Yes[31],Yes,Yes[32],Yes[33],Yes,Yes[31],Yes[31],Yes Clamav,Yes[31]
Dovecot (software),?,?,?,?,?,?,?,?,?,?,?,?
Eudora Internet Mail Server,Yes,?,Yes,Yes,?,?,?,?,?,?,?,?
Exim,Yes,Yes,Yes,Yes,Optional at build time,Yes,Optional at build time,Yes,Optional with spamassassin etc.,Yes,Optional any,Optional any
FirstClass,Yes,Yes,No,?,Yes,?,?,Yes,Yes,Yes,Yes NortonLifeLock,?
Gordano Messaging Suite,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,Yes," Yes CYREN, CYREN ",Yes CYREN
GroupWise,Yes,?,?,?,?,?,?,?,?,?,?,?
Halon (software),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional (via SpamAssassin),Yes," Optional (Sophos, Sophos) "," Optional (CYREN, CYREN) "
Haraka (software),Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Optional with spamassassin etc.,Yes," Optional Clam AntiVirus, Clam AntiVirus, any via plugins "," Optional SpamAssassin, SpamAssassin "
HMailServer,Yes,Yes,No,Yes,Yes,Yes,?,No,No,Yes,Yes Clam AntiVirus,Yes Spam Assassin
IBM Notes,Yes[34],?,?,?,No[35],?,?,?,?,?,?,?
IceWarp Mail Server,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,Yes,Yes,Yes
Ipswitch IMail Server,Yes,Yes,No,No,Yes,Yes[36],Yes[37],No,Yes,Yes," Yes NortonLifeLock, NortonLifeLock ",Yes CYREN
Kolab,Yes,?,?,Yes,Yes,?,?,?,Optional with spamassassin etc.,Yes,Optional (via content filter interface),Optional (via content filter interface)
Mailsite,Yes,Yes,Yes,Yes,Yes,?,?,No,Yes,Yes,Yes,Yes
Mailtraq,?,?,?,?,?,?,?,?,?,?,?,?
MDaemon,Yes,Yes (via SpamAssassin),Yes,Yes,Yes,Yes,Yes,Yes,Yes (via SpamAssassin),Yes (via  Content Filter )," Optional Cyren, ClamAV ",Yes SpamAssassin
Mercury Mail Transport System,Yes,?,?,Yes (GreyWall extension),?,?,?,?,Yes (SpamHalter extension),?,Yes (ClamWall extension),?
Microsoft Exchange Server,Yes (2003 &amp; later),?,?,Yes,Yes,Optional (Signing only via 3rd Party Extensions),?,Yes (2003 &amp; later),?,?,?,?
NetMail,?,?,?,?,?,?,?,?,?,?,?,?
OpenSMTPD,?,?,?,?,Yes,Yes[38],?,?,?,?,?,?
Oracle Communications Messaging Server,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Optional with spamassassin etc.,Yes,Optional any,Optional any
Postfix (software),Yes,?,?,Yes,Yes,Optional[39],Optional[40],?,Optional with spamassassin etc.,Yes,Optional (via content filter interface),Optional (via content filter interface)
Qmail,?,?,?,Yes,?,?,?,?,No,?,No,No
Scalix,Yes,Yes (via Scalix AntiSpam powered by CYREN or CYREN),Yes (via Scalix AntiSpam powered by CYREN or CYREN),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes (via Scalix ZeroHour AntiVirus powered by CYREN or CYREN),Yes
Sendmail,Yes,Yes (via milter/SA),?,Yes,Optional,Optional[39],Optional[40],?,Optional with spamassassin etc.,?,Yes Clam AntiVirus,Yes Spam Assassin
SparkEngine,?,?,?,?,?,?,?,?,?,?,?,?
UW IMAP,?,?,?,?,?,?,?,?,?,?,?,?
WinGate,?,?,?,?,?,?,?,?,?,?,?,?
Zarafa (software),External[12],External[12],External[12],External[12],External[12],External[12],External[12],External[12],External[12],External[12],External[12],External[12]
Zimbra,Yes,Yes (via Spam Assassin),?,Yes (via Cluebringer Policy Daemon),Yes,Yes,?,Yes,Yes,Yes (partially)," Yes (via Clam AntiVirus, optionally any via Clam AntiVirus) ",Yes (via Spam Assassin)
