Flag,Country,IOC,FIFA,ISO
British Honduras,British Honduras,HBR  1972,BHO,
Myanmar,Burma,BIR  1988,BUR  1989,BUR  1989
Dominion of Ceylon,Ceylon,CEY  1972,CEY  1972,
Republic of Dahomey,Republic of Dahomey,DAH  1972,DAH  1975,DHY  1977
Czechoslovakia,Czechoslovakia,TCH  1992,TCH  1993,CSK  1993
East Germany,East Germany,GDR  1988,DDR  1989,DDR  1989
Cambodia,Khmer Republic,KHM  1976,?  1975,
Federation of Malaya,Federation of Malaya,MAL  1960,?  1963,
Netherlands Antilles,Netherlands Antilles,AHO  2011,ANT  2011,ANT  2010
North Borneo,North Borneo,NBO  1956,NBO  1963,
Yemen Arab Republic,North Yemen,YAR  1988,NYE  1990,YEM  1990
Northern Rhodesia,Northern Rhodesia,NRH  1964,NRH  1964,
Rhodesia,Rhodesia,RHO  1972,RHO  1980,RHO  1980
Serbia and Montenegro,Serbia and Montenegro,SCG  2006,SCG  2006,SCG  2006
People's Democratic Republic of Yemen,South Yemen,YMD  1988,SYE  1990,YMD  1990
Soviet Union,Soviet Union,URS  1988,URS  1991,SUN  1992
Republic of Upper Volta,Republic of Upper Volta,VOL  1984,UPV  1984,HVO  1984
North Vietnam,North Vietnam,,VNO  1975,VDR  1977
South Vietnam,South Vietnam,VNM  1976,VSO  1975,VNM  1977
Germany,West Germany,FRG  1988,FRG  1989,DEU  1989
Federal Republic of Yugoslavia,Serbia and Montenegro,YUG  2002,YUG  2003,YUG  2003
Socialist Federal Republic of Yugoslavia,Socialist Federal Republic of Yugoslavia,YUG  1992,YUG  1992,YUG  1992
Zaire,Zaire,ZAI  1996,ZAI  1997,ZAR  1997
