Model,Launch,Code name,Fab (Nanometer),Computer bus Computer bus,Core config1,Clock speed,,,Fillrate,,Memory,,,,Supported Application programming interface version,,Processing power (GFLOPS),Thermal design power (Watts),Notes
,,,,,,Core (Hertz),Shader (Hertz),Memory (Hertz),Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Megabyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Direct3D,OpenGL,,,
GeForce 8200M G [108],June 2008," MCP77MV, MCP79MVL ",80,Integrated (PCIe 2.0 ×16),8:8:4,400,800,800 1066 (system memory),1.6,3.2,Up to 256 from system memory,12.8 17.056,DDR2 DDR3,128,10.0,3.3,19.2,Unknown," PureVideo HD with VP3, Full H.264 / VC-1 / MPEG-2 HW Decode "
GeForce 8400M G,May 2007,NB8M(G86),,PCIe ×16,,,,800,,,128 / 256,6.4,DDR2 / GDDR3,64,,,,10," PureVideo HD with VP2, BSP Engine, and AES128 Engine "
GeForce 8400M GS,,,,,,,,,,,,,,,,,16:8:4,38.4,,11
GeForce 8400M GT,,,,,,,,,,,,,,,,,,450,,900,1200,1.8,3.6,256 / 512,19.2,128,43.2,14
GeForce 8600M GS,,,,,,,,,,,,,,,,,,NB8P(G84),,600,1200,1400,2.4,,4.8,,22.4,57.6,20
GeForce 8600M GT,,,,,,,,,,,,,,,,,,,,32:16:8,475,950,800 / 1400,,3.8,,7.6,12.8 / 22.4,,91.2
GeForce 8700M GT,,,,,,,,,,,,,,,,,,,,,June 2007,625,1250,,1600,,5,10,25.6,GDDR3,120,29," Scalable Link Interface, Scalable Link Interface HD with VP2, BSP Engine, and AES128 Engine "
GeForce 8800M GTS,November 2007,NB8P(G92),65,PCIe 2.0 ×16,64:32:16,500,8,16,512,51.2,256,240,50
GeForce 8800M GTX,,,,,96:48:16,,,24,,,,360,65
