Network Name,Location,Founded,Status
24/7 Media 24/7 Media," New York, NY ",1997[8],Active
AdBriteAdBrite,San Francisco[10],2002[10],Defunct
Adcash Adcash," Tallinn, Estonia ",2007,Active
Atlas SolutionsAtlas Solutions,USA,2001,Active
Bing Ads,Seattle,2006,Active
AdformAdform," Copenhagen, Denmark ",2002,Active
AdTaily AdTaily," London, UK[15] ",2010[15],Active
Advertising.com Advertising.com," Baltimore, Maryland ",1998[17],Active
AdWordsAdWords," Ann Arbor, Michigan[19] ",2000[20],Active
BlueLithiumBlueLithium," San Jose, California[22] ",2004[22],Defunct[23]
ChitikaChitika," Westborough, Massachusetts[25] ",2003[26],Active
CriteoCriteo,France[28],2005,Active
DoubleClickDoubleClick,Chicago[30],1998[30],Active
Baidu," Beijing, China ",2000,Active
ExoClick," Barcelona, Spain ",2006,Active
Hydra Network (page does not exist)Hydra Network (page does not exist)," Beverly Hills, California[32] ",2003[33],Defunct[34]
Right MediaRight Media,New York[35][36],2004[37],Active
Rocket Fuel Inc.Rocket Fuel Inc.," Redwood City, California ",2008,Active
ValueClickValueClick," Westlake Village, California[39] ",1998[40],Active
Yahoo! Publisher NetworkYahoo! Publisher Network," Sunnyvale, California ",2005,Defunct
YashiYashi," Toms River, New Jersey ",2007,Active
ZedoZedo,San Francisco[44],1999[45],Active
