BitTorrent client,Magnet URI,Preload Magnet metadata [Note 4],Super-seeding,BitTorrent tracker,Universal Plug and Play Universal Plug and Play,NAT Port Mapping Protocol,NAT traversal NAT traversal,Distributed hash table Distributed hash table,Peer exchange,BitTorrent protocol encryption,UDP tracker,Local Peer Discovery,Proxy server
ABC (Yet Another BitTorrent Client),No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Acquisition (software),No,No,No,No,No,Yes,No,No,No,No,No,No,No
BitComet,Yes,No,Yes,Separate download,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No," HTTP 1.1, SOCKS4-4a-5 "
BitLet,No,No,No,No,Yes,No,No,No,No,No,No,No,No
BitLord,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes," HTTP 1.1, SOCKS4-4a-5 "
BitTornado,No,No,Yes,Yes[Note 8],Yes,No,No,No,No,Yes,No,No,No
" BitTorrent (software) 5, Mainline ",No,No,No,Yes[Note 8],Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
BitTorrent 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[Note 9],Yes,Yes,Yes," HTTP(S), SOCKS4-5 "
BitTyrant,No,No,Yes[ Wikipedia:Citation needed ],Yes,Yes,Yes,Yes[Note 10],Yes[Note 11],Yes,Yes,No,No,No
Blog Torrent,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Deluge (software),Yes,Partial[Note 12],No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes," HTTP(S), SOCKS4-5 "
FlashGet,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
Free Download Manager,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
KTorrent,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial," HTTP, SOCKS4-5 "
LimeWire,Partial,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
Meerkat Bittorrent Client,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
MLDonkey,Yes[58],No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
ΜTorrent,Yes,Yes[59],Yes[60],Yes[61],Yes[62],Yes,Yes[63],Yes[Note 13],Yes[Note 9],Yes[64],Yes,Yes[65]," HTTP(S), SOCKS4-5 "
OneSwarm,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Opera (web browser),No,No,No,Yes[66],No,No,No,No,Yes[67],No,No,No,No
QBittorrent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes," HTTP(S), SOCKS4-5 "
RTorrent,Yes[68],No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No[69],No
Shareaza,Yes,No,No,No,Yes,Yes,No,Yes[Note 14],Yes,No,Yes[Note 15],No,No
SymTorrent,No,No,No,No,No,No,No,No,No,No,No,No,No
Tixati,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,only with out going without DHT if anonymity required
Tomato Torrent,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Tonido,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
TorrentFlux,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No
Transmission (BitTorrent client),Yes,Yes[70][71][72],No,No,Yes,Yes,Yes,Yes,Yes[Note 16],Yes,Yes,Yes,No[73]
Tribler,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Uses Peer-to-peer Peer-to-peer to provide anonymity.
Vuze (formerly Azureus),Yes,Yes,Yes,Yes,Yes,Yes,Yes[Note 17],Yes[Note 11],Yes,Yes,Yes,Plugin," HTTP(S)?, SOCKS4-4a-5 "
Xunlei,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes," HTTP, SOCKS5, FTP "
BitTorrent client,Magnet URI,Preload Magnet metadata,Super-seeding,Embedded tracker,UPnP,NAT Port Mapping Protocol,NAT traversal,DHT,Peer exchange,Encryption,UDP tracker,LPD,Proxy server
