,Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (United States dollar),Software license
Ability Photopaint,Graphics editor with some advanced features,Ability Software,March 2001,4,,,Proprietary software
ACDSee,,,,19,,$59,Proprietary software
ACDSee,,,,9,,$99,Proprietary software
ACDSee,,,,9,,$149,Proprietary software
Acorn Image Editor,Image editor and graphics creator for MacOS,Flying Meat Inc.," September 10, 2007 ",5.6.2," January 24, 2017",,Proprietary software
Adobe Fireworks*," Alternative to Photoshop targeted at web designers, discontinued after CS6 ",Macromedia,1998,CS6 / 12.0," May 7, 2012",Discontinued,Proprietary software
Adobe Photoshop,Professional image editor and graphics creation tool,Adobe Systems," February 19, 1990 ",CC 2020/ 21.1.3," May 19, 2020",$9.99/month,Proprietary software
Adobe Photoshop Elements," Raster graphics editor for entry-level photographers, image editors and hobbyists",,,14.0," September 24, 2015",$99,Proprietary software
Adobe Photoshop Lightroom,Photo editor,Adobe Systems," February 19, 2007 ",8.2," February 7, 2019",$9.99/month,Proprietary software
Affinity Photo," Professional image editor for Windows, macOS and iOS ",Serif Europe," July 9, 2015 ",1.8.2," April 3, 2020",$49.99,Proprietary software
Autodesk SketchBook Pro,Paint and drawing toolset for use with digitized pen tablets &amp; Tablet computer,Autodesk,2004,2016 (4.1),,,Proprietary software
Artipic,Image editor for Windows and macOS,Artipic AB,2014,2.6," October 30, 2017",,Proprietary software
ArtRage,Digital paint program for Tablet computer,Ambient Design,2004,6,June 2019,,Proprietary software
Artweaver,Emulates physical painting experience on a computer,Boris Eyrich,2002,7.0.4," February 9, 2020",,Freeware
Bibble (software)*,Photo editor and organizer with camera raw file support,Bibble Labs,2000,5.2,,,Proprietary software
Black Ink Software (page does not exist),Advanced Digital Painting,Bleank (page does not exist),2012,2020.1,January 2020,$59.99,Proprietary software
Bloom Image Editor,Procedural node-based image editor,Sad Cat Software,2015,1.0.467," August 5, 2016",,Proprietary software
Brush Strokes Image Editor,Image editor like Windows Paint,Paul Bird,2004,2.0,,,Freeware
Capture One,Professional raw converter and image editor,Phase One (company),2002,12,,,Proprietary software
