Format,Type,3GP and 3G2,3GP and 3G2,Advanced Systems FormatAdvanced Systems Format,Audio Video InterleaveAudio Video Interleave,DivX Media Format,Enhanced VOB,Flash VideoFlash Video,Flash Video,Matroska," MPEG program stream, MPEG program streamMPEG program stream ",.m2ts,MPEG-4 Part 14MPEG-4 Part 14,Material eXchange Format,OggOgg,QuickTime File FormatQuickTime File Format,RMVB,VOBVOB,WebMWebM
Speex,Speech coding,No,No,No,No,No,No,Yes,No,Audio Compression ManagerAudio Compression Manager,No,No,No,No,Yes,No,No,No,No
Adaptive Multi-Rate audio codec,Speech coding,Yes," Adaptive Multi-Rate audio codec, Adaptive Multi-Rate audio codec ",Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Qualcomm code-excited linear prediction,Speech coding,No,13K,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
G.728,Speech coding,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
MPEG-1 Audio Layer I,Lossy compression,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No
MPEG-1 Audio Layer II,Lossy compression,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
MP3,Lossy compression,No,No,Yes,Yes[β][61],Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Needs OGMtools[62],MPEG-1 Audio,No,No,No
Advanced Audio Coding,Lossy compression,Yes," Only AAC-LC, HE-AAC v1 ",Yes,Yes[β][61],No,No,Yes,Yes[γ],Yes,Private,Yes,Yes,Yes,No,Yes," Only AAC-LC, HE-AAC v1 ",No,No
Dolby Digital,Lossy compression,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Private,Yes,Yes[63],Yes,Needs OGMtools[62],Yes,Yes,Private,No
Dolby Digital Plus,Lossy compression,No,No,Yes,No,No,Yes,No,No,QuickTimeQuickTime,No,Yes,Yes,No,No,Yes,No,No,No
DTS (sound system),Lossy compression,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Private,Yes,Yes,No,No,No,No,Private,No
Windows Media Audio,Lossy compression,No,No,Yes,Yes,No,No,No,No,Audio Compression ManagerAudio Compression Manager,No,No,No,No,No,No,No,No,No
Adaptive Transform Acoustic Coding,Lossy compression,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
QDesign Music 1 and 2,Lossy compression,No,No,No,No,No,No,No,No,QuickTimeQuickTime,No,No,No,No,No,Yes,No,No,No
Vorbis,Lossy compression,No,No,No,Tricky[ε],No,No,No,No,Yes,No,No,Private,No,Yes,No,No,No,Yes
Opus (audio format),Lossy compression,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes
FLAC,Lossless compression,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Not standard[66],No,Yes,No,No,No,No
Apple Lossless,Lossless compression,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
Meridian Lossless Packing,Lossless compression,No,No,No,No,No,Yes,No,No,No,Private,No,Yes[34],No,No,No,No,Private,No
Dolby TrueHD,Lossless compression,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
DTS (sound system),Lossless compression,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes[34],No,No,Yes,No,No,No
WMA Lossless,Lossless compression,No,No,Yes,Yes,No,No,No,No,Audio Compression ManagerAudio Compression Manager,No,No,No,No,No,No,No,No,No
Audio Lossless Coding,Lossless compression,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
MPEG-4 SLS,Lossless compression,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
Linear pulse-code modulation,Uncompressed audio,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Private,Yes,Yes,Yes,Software release life cycleSoftware release life cycle,Yes,No,Private,No
Μ-law algorithm Μ-law algorithm,Uncompressed audio,No,No,Yes,Yes,No,No,Yes,No,Audio Compression ManagerAudio Compression Manager,No,No,No,No,Yes,Yes,No,No,No
A-law algorithm A-law algorithm,Uncompressed audio,No,No,No,Yes,No,No,Yes,No,Audio Compression ManagerAudio Compression Manager,No,No,No,Yes,Yes,Yes,No,No,No
Microsoft Adaptive differential pulse-code modulation,Uncompressed audio,No,No,Yes[27],Yes,No,No,No,No,Audio Compression ManagerAudio Compression Manager,No,No,No,No,No,Yes,No,No,No
IEEE 754 PCM,Uncompressed audio,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
DV Audio,Uncompressed audio,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes[39],No,Yes,No,No,No
Other,Other,Enhanced Voice Services," Enhanced Variable Rate Codec, Enhanced Variable Rate Codec, EVRC-WB, Enhanced Variable Rate Codec, Enhanced Variable Rate Codec ",Microsoft GSM 6.10," G.721, G.722, G.722, G.722, G.722, G.722, G.722, Dolby AC-2 ",—,—," Asao (codec), SWF Asao (codec)Asao (codec) ",—," Musepack, Musepack, Musepack, any format supported by Musepack ",—,—,—,—,—," IMA 4:1, non-IEEE 754 IEEE 754 PCM "," Digital AMPS, Digital AMPS, Sipro Lab Digital AMPS-NET, RealAudio Lossless ",—,—
Obsolete,Other,—,—,—," Truespeech, many others ",—,—,—,—,—,—,—,—,—,CELT," MACE 3:1, MACE 6:1 ",—,—,—
Format,Type,3GP and 3G2,3GP and 3G2,Advanced Systems FormatAdvanced Systems Format,Audio Video InterleaveAudio Video Interleave,DivX Media Format,Enhanced VOB,Flash VideoFlash Video,Flash Video,Matroska," MPEG program stream, MPEG program streamMPEG program stream ",.m2ts,MPEG-4 Part 14MPEG-4 Part 14,Material eXchange Format,OggOgg,QuickTime File FormatQuickTime File Format,RMVB,VOBVOB,WebMWebM
