Client,Internet Explorer,Microsoft Edge,Mozilla Firefox,Opera (web browser),Safari (web browser),Google Chrome,other
BookmarkSync,Yes,No,Yes,Yes,Yes (Mac Only),No,SeaMonkey
Opera (web browser) Link,No,No,No,Yes,No,No," Opera Mini, Opera Mini "
Firefox Sync,No,No,Yes,No,No,No," Fennec (browser)Fennec (browser), Fennec (browser) "
,,,,,,,
Eversync,Yes,No,Yes,Yes,No,Yes,No
