Model,CPU/APU PCI Express Link,PCI Express,,,SATA,USB 3.1 Gen2 + 2.0,RAID,Overclocking,Thermal design power (Thermal design power),Chipset lithography,Features / notes,Part number
,,Chipset PCIe 4.0 Lanes,AMD CrossFireX,Scalable Link Interface,,,,,,,,
TRX40[31],8,8×,Yes,Yes,4 (+ up to 2 × 4 extra),8 + 4," 0,1,10 ",Yes,15 W[30],14 nm,Unknown,Unknown
