Country, Rocket, Burn time, Specific impulse (Vac.), Thrust (Vac.)
IMG India, S200 booster rocket stage[82], 130s, 274.5s, 5150 kN (1160000 lbf)
IMG Japan, SRB-A series solid fueled rocket boosters, 100s, 280s, 2260 kN (510000 lbf)
IMG Israel, Shavit's first stage, 82s, 280s, 1650 kN (370000 lbf)
IMG China, Kuaizhou series of launch vehicles, , , 
IMG China, Long March 11 launch system, , , 
