Engine,Status,Embedded in
WebKit,Active," Safari (web browser) browser, plus all browsers hosted on the Safari (web browser) Safari (web browser). "
Blink (browser engine),Active," Google Chrome and other web browsers based on Google Chrome, such as Google Chrome, Google Chrome, and Google Chrome. "
EdgeHTML,Active,Universal Windows Platform apps; formerly in the Edge browserUniversal Windows Platform.
Gecko (software),Active," Firefox browser and Firefox email client, plus Firefox like Firefox and Firefox. "
KHTML,Discontinued,Konqueror browser
Presto (browser engine),Discontinued," Formerly used as Opera (web browser)'s browser engine, prior to the migration to Chromium and Blink. "
Trident (software),Discontinued,Internet Explorer and versions of Internet Explorer prior to Outlook 2007.
