Engine,Origin,Designer,Spacecraft,Multistage rocket,Rocket propellant,Specific impulse (s)Specific impulse,Thrust (N)Thrust,Mass (kg),Thrust-to-weight ratioThrust-to-weight ratio,Combustion chamber pressure (bar),Oxidiser:​fuel ratio
Aestus,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Airbus Defence and Space," Ariane 5 G, G+, ES ",Upper,Dinitrogen tetroxide / Dinitrogen tetroxide,324[71]," 30,000 ",111,27.6,11,1.9
Aestus II,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Airbus Defence and Space,Ariane 5,Upper,Dinitrogen tetroxide / Dinitrogen tetroxide,340[72]," 55,400 ",138,41.0,60,1.9
F-1 (rocket engine)F-1 (rocket engine),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Rocketdyne,Saturn V,1st,RP-1 / RP-1,304   263 (SL)," 7,770,000   6,770,000 (SL) "," 8,391 ",82.27,70,2.27
F-1 (rocket engine)F-1 (rocket engine)F-1 (rocket engine),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Rocketdyne,,1st,RP-1 / RP-1,303   270 (SL)," 8,989,000   8,007,000 (SL) "," 9,015 ",90.6,80,2.27
AJ-260-2,United States USA,Aerojet,S-I stage replacement (proposed),1st,Polybutadiene acrylonitrile,263s," 26,183,755 "," 831,345 with fuel  ",,,
Bristol Siddeley Gamma,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png United Kingdom,Bristol Siddeley,Black Arrow,2nd,RP-1 / RP-1,265[74]," 68,200 ",173,40.22,,8
Bristol Siddeley Gamma,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png United Kingdom,Bristol Siddeley,Black Arrow,1st,RP-1 / RP-1,265[75]," 234,800 ",342,70.01,47.40,8
HM-7B,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Snecma,Ariane 1,3rd,Liquid hydrogen / Liquid hydrogen,443[76]   308 (SL)," 61,700 ",149,42.2,30,5
J-2 (rocket engine),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Rocketdyne,Saturn V Saturn V," 2nd, 3rd ",Liquid hydrogen / Liquid hydrogen,421[77]   200 (SL)," 1,033,100   486,200 (SL) "," 1,438 ",73.18,30,5.5
J-2X,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Pratt &amp; Whitney Rocketdyne,Space Launch System(proposed),Upper,Liquid hydrogen / Liquid hydrogen,448[78]," 1,310,000 "," 2,470 ",58.41,95,5.5–4.5
Kestrel (rocket engine),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX,Falcon 1,Upper,RP-1 / RP-1,317," 31,000 ",52,65,9.3,
LE-5,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries Mitsubishi Heavy Industries,H-I,Upper,Liquid hydrogen / Liquid hydrogen,450[79]," 103,000 ",245,42.87,36.0,5.5
