Application,CD-RCD-R,DVD-RDVD-RDVD-R,DVD+RDVD+R,DVD+R DLDVD+R DL,DVD-R DLDVD-R DL,Blu-ray Disc recordable,Blu-ray Disc recordable
Alcohol 120%,Yes,Yes,Yes,Yes,Yes,No,No
CDBurnerXP,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cdrtools,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DeepBurner,Yes,Yes,Yes,?,?,No,No
Express Burn Disc Burning Software,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ImgBurn,Yes,Yes,Yes,Yes,Yes,Yes,Yes
InfraRecorder,Yes,Yes,Yes,Yes,Yes,No,No
K3b,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Libburnia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Nero Burning ROM,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UltraISO,Yes,Yes,Yes,Yes,Yes,Yes,Yes
X-CD-Roast,Yes,Yes,Yes,?,?,No,No
Application,CD-RCD-R,DVD-RDVD-RDVD-R,DVD+RDVD+R,DVD+R DLDVD+R DL,DVD-R DLDVD-R DL,Blu-ray Disc recordable,Blu-ray Disc recordable
