Country code, Country, Speed limit on motorway (km/h), Speed limit on dual carriageway (km/h), Speed limit on single carriageway (km/h), Speed limit in urban area, Permitted alcohol level (%), Toll roads, Seatbelt required, Minimum child age (front seat), Triangle required, First aid required, Fire extinguisher required, Spare bulb required, Minimum driver's age, Tow rope required
A, IMG Austria, 130, 100, 100, 50, 0.05, Yes, All, N/A, Yes, Yes, Recommended, No, 17, Yes
AL, IMG Albania, 110, N/A, 90, 40, 0, , Yes[1], N/A, Recommended, Recommended, Recommended, No, 18, Yes
AND, IMG Andorra, N/A, N/A, 90, 50, 0.05, , Front, 10, Yes, Recommended, Recommended, No, 18, Yes
B, IMG Belgium, 120, 90, 90 (70 in Flanders), 50, 0.05, No[2], All, 12, Yes, Yes, Yes, No, 18 (17 with supervision of parents), Yes
BG, IMG Bulgaria, 140, N/A, 90, 50, 0.05, Yes, All, 10, Yes, Yes, Yes, Yes, 18, Yes
BIH, IMG Bosnia and Herzegovina, 130, 100, 80, 50, 0.03, , Yes[3], 12, Yes, Yes, Recommended, Yes, 18, Yes
BY, IMG Belarus, 110, N/A, 90, 60, <0.03, Yes, Yes[4], 12, Yes, Yes, Yes, No, 18, Yes
CH, IMG Switzerland, 120, N/A, 80 (100 on limited-access roads), 50, 0.05, Yes, All, , Yes, Recommended, Recommended, No, 18, Yes
CY, IMG Cyprus, 100, N/A, 80, 50, 0.05, , All, 12, Yes 2x, Recommended, Recommended, No, 18, Yes
CZ, IMG Czech Republic, 130 (urban 80), 110 (urban 80), 90, 50, 0 (tolerated 0.02), Yes, All, , Yes, Yes, Recommended, Yes, 18 (17 for B1 cars), Yes
D, IMG Germany[5], no (130 recommended), no (130 recommended), 100 (no / 130 recommended with two or more lanes per direction), 50, 0.05, No[6], All, N/A, Yes, Yes, Recommended, No, 18 (17 with supervision of >30 years old driver), No
DK, IMG Denmark, 130, N/A, 80, 50, 0.05, Yes, All, N/A, Yes, Recommended, Recommended, No, 18, Yes
E, IMG Spain, 120, 120, 90, 50, 0.05, Yes, All, N/A, Yes 2x, Recommended, Recommended, No, 18, Yes
EST, IMG Estonia, 110, 110, 90, 50, 0, , All, N/A, Yes, Yes, Yes, No, 18 (16 with supervision of a person with 2+ years of driving experience), Yes
F, IMG France, 130 (rain/wet 110), 110 (rain/wet 100), 80, 50, 0.05, Yes, All, 10, Yes, Recommended, Recommended, No, 18 (15 with supervision of a person with 5+ years of driving experience), Yes
FIN, IMG Finland, 120[7], N/A, 80, 50, 0.05, No, All, 3, Yes, Recommended, Recommended, No, 17, Yes
