File extension(s)File extension,MIME typeMIME,Official name[3],Platform[4],Description
" .a, .ar ",application/x-archive,Ar (Unix),Unix-like," The traditional archive format on Unix-like systems, now used mainly for the creation of Unix-like. "
.cpio,application/x-cpio,Cpio,Unix-like," RPM Package Manager files consist of metadata concatenated with (usually) a cpio archive. Newer RPM systems also support other archives, as cpio is becoming obsolete. cpio is also used with RPM Package Manager. "
.shar,application/x-shar,Shell archive,Unix-like,A self-extracting archive that uses the Bourne shell (sh).
.LBR,,LBR (file format),CP/M DOS," A system for storing multiple files. LBR archives typically contained files processed by SQ, or the archive itself was compressed with SQ. LBR archives that were compressed with SQ ended with the extension .LQR "
.iso,application/x-iso9660-image,ISO Image,(Various; cross platform)," An archive format originally used mainly for archiving and distribution of the exact, nearly-exact, or custom-modified contents of an optical storage medium such as a CD-ROM or DVD-ROM. However, it can be used to archive the contents of other storage media, selected partitions, folders, and/or files. The resulting archive is typically optimized for convenient rendering to (re-)writable CD or DVD media. "
.lbr,,,Commodore 64/128," A library format used primarily on the Commodore 64 and 128 lines of computers. This bears no resemblance to the DOS LBR format. While library files were quick to implement (a number of programs exist to work with them) they are crippled in that they cannot grow with use: once a file has been created it cannot be amended (files added, changed or deleted) without recreating the entire file. "
.mar,,Mozilla ARchive,(Various; cross platform),An archive format used by Mozilla for storing binary Diff. Used in conjunction with Diff.
.sbx,application/x-sbx,SeqBox,(Various; cross platform),A single file container/archive that can be reconstructed even after total loss of file system structures.
.tar,application/x-tar,Tar (file format),Unix-like," A common archive format used on Unix-like systems. Generally used in conjunction with compressors such as Gzip, Gzip, Gzip or Gzip to create .tar.gz, .tar.bz2, .tar.Z or tar.xz files. "
