Graphics,Launch,Market,List of Intel chipsets,Code name,Device id.[3],Core render Clock rate (Clock rate),Pixel pipelines,Shader model (Shader/Shader),Application programming interface supportApplication programming interface,,,Memory bandwidth  (Memory bandwidth),Dynamic video memory technology  (Dynamic video memory technology),Hardware acceleration,,
,,,,,,,,,Direct3D,OpenGL,OpenCL,,,MPEG-2 Part 2,VC-1,H.264/MPEG-4 AVC
Extreme Graphics,2002,Desktop,845G 845GL 845GV,Brookdale,2562,200,2,3.0 (SW) / No," 6.0 (full) 9.0 (some features, no hardware shaders)",1.3   ES 1.1Linux,No,2.1,64,MC,No,No
,2001,Mobile,830M 830MG,Almador,3577,166[5],,,,,,1,,,,
Extreme Graphics 2,2003,Desktop,865G 865GV,Springdale,2572,266,,,,,,6.4,,,,
,,Mobile,852GM 852GME 852GMV,Montara,3582,133–266,,,,,,2.1–2.7,,,,
,,,854,,358E,,,,,,,,,,,
,,,855GM   855GME,,3582,,,,,,,,,,,
