John McCain,,Barack Obama,
" At a town hall meeting January 6, 2008 McCain was reported to have answered a question on the Armenian Genocide by noting that he recognizes the Armenian Genocide, but opposes the Armenian Genocide Resolution due to the Turkish government's sensitivities and the importance of their continued contribution to the war on terror.[127] On September 29, 2008, in an open letter to the Armenian-American Community of the United States he stated, that ""it is fair to say that one of the greatest tragedies of the 20th century, the brutal murder of as many as one and a half million Armenians under the rule of the Ottoman Empire, has also been one of the most neglected"" and that ""it is our responsibility to recognize those tragic events"".[128] ",," On January 19, 2008 Obama announced that as a U.S. Senator, he has stood with the Armenian American community in calling for Turkey's acknowledgement of the Armenian American, and supports its Armenian American. In 2006, Obama criticized Secretary of State Armenian American for firing Armenian American, Armenian American, after he used the term ""genocide"" to describe Turkey's killing of hundreds of thousands of Armenian American.Armenian American On June, 2008 Obama restated his commitment to U.S. recognition of the Armenian Genocide in a letter to Armenian American Chairman Armenian American.Armenian American Obama supported Armenian American which recognized the killings as genocide. ",
Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
,,,
