Server name,Software license,Programming language,RFC 2616 HTTP/1.1,authentication HTTP auth.,RFC 2518 Web­DAV,versioning Web­DAV vers.,RFC 3744 Web­DAV ACL,Calendar Access Protocol iCal CAP,RFC 4331 Web­DAV quota,RFC 4709 Web­DAV mount,RFC 4791 Cal­DAV,extensions Web­DAV ext.,RFC 5397 Web­DAV current principal,revised rev. iCal (Availability Check),transport-independent interoperability protocol iCal iTIP(Group Scheduling),extended Web­DAV ext. MKCOL,RFC 5995 Web­DAV POST add member,RFC 6352 Card­DAV vCard,synchronise Web­DAV sync,scheduling Cal­DAV sched.(Auto-Schedule),non-Gregorian calendar iCal RSCALE,RFC 7540 HTTP/2,reference Cal­DAV time zones by ref.,personal availability iCal VAVAIL­ABILITY,Free-busy URL
Baïkal[21][22],GNU General Public License,PHP,Yes,Yes,Yes,No,Some,No,Unknown,No,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bedework[23],Apache License,Java (programming language),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
Calendar and Contacts ServerCalendar and Contacts Server,Apache License,Python (programming language),Yes,Yes,Yes,Yes,Yes,No,Unknown,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
Calypso[25],GNU General Public License,Python (programming language),Yes,Yes,Yes,No,Unknown,No,Unknown,No,Yes,Yes,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Cyrus IMAPCyrus IMAP,BSD licenses,C (programming language),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DAViCalDAViCal,GNU General Public License,PHP,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes
DavMail[28],GNU General Public License,Java (programming language),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Fennel[29],GNU GPLv3,JavaScript,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Group-OfficeGroup-Office," Affero General Public License, Affero General Public License ",PHP,Yes,Yes,Yes,Unknown,Some,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Horde Groupware,GNU LGPL,PHP,Yes,Yes,Yes,No,Some,No,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
NextcloudNextcloud,Affero General Public License v3,PHP,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Open Xchange," GNU General Public License, GNU General Public License "," Java (programming language), Java (programming language) ",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
OwnCloudOwnCloud,Affero General Public License v3,PHP,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Radicale[33],GNU General Public License,Python (programming language),Yes,Yes,Some,No,Some,No,Unknown,No,Some,Some,Some,No,Some,No,Unknown,Some,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
SabreDAVSabreDAV,BSD licenses,PHP,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
Xandikos[35],GNU General Public License,Python (programming language),Yes,Yes,Yes,Some,Some,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,No,No,Unknown
Zarafa (software)," Affero General Public License, Affero General Public License ",PHP,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Read only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ZentyalZentyal,GNU General Public License,Perl,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Zimbra,GNU General Public License,Java (programming language),Yes,Yes,Yes,Yes,Yes,No,Unknown,No,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
