Parser,Software license,Implementation language(s),Latest date*,HTML parsing[1],HTML5-compliant parsing,Clean HTML**,Update HTML***
Lambda Soup,BSD licenses,OCaml,2016-12-10[2],Yes,Yes,?,?
html.parser,Python Software Foundation License,Python (programming language),2016-06-27[3],Yes,?,No,No
Html Agility Pack,MIT License,C Sharp (programming language),2019-07-07[4],Yes,?,No,?
HTML Monkey,Microsoft Public License,C Sharp (programming language),2018-12-14,Yes,?,?,?
Beautiful Soup,Python Software Foundation License,Python (programming language),2019-01-07[5],Yes,Partial[6],Yes,Yes
Gumbo,Apache License 2.0,C (programming language),2015-05-01,Yes,Yes,No,No
html5ever,Apache License 2.0,Rust (programming language),2016-02-23,Yes,Yes,?,?
html5lib,MIT License," Python (programming language) (and Python (programming language), six years ago) ",2016-07-15[7],Yes,Yes,Yes,No
HTML::Parser,Perl license,Perl,2013-03-28,Yes,No[8],?,?
WebGear,GPL3,Perl,2017-03-10,Yes,Yes,?,?
htmlPurifier,GNU Lesser General Public License,PHP,2019-07-14[9],No,No,Yes,Yes
HTML Tidy,W3C license,ANSI C,2017-03-01[10],Yes[11],Yes,Yes[11],Yes
HtmlUnit,Apache License 2.0,Java (programming language),2019-08-24[12],Yes,?,No,No
HtmlCleaner,BSD LicenseBSD License,Java (programming language),2015-08-24,No,No,Yes,?
Hubbub,MIT License,C (programming language),2016-02-16,Yes,Yes[14],?,?
Jaunt API,Jaunt Beta License (page does not exist),Java (programming language),2013-08-01,Yes,?,Yes,No
Jericho HTML Parser,Eclipse Public License,Java (programming language),2015-10-24[15],Yes,?,?,?
jsdom,MIT license,JavaScript,2018-08-19,Yes,Yes,?,?
jsoup,MIT license,Java (programming language),2019-05-12[16],Yes,Yes[17],Yes,Yes
JTidy,JTidy License,Java (programming language),2012-10-09[18],No,?,Yes,?
Libxml2 Libxml2,MIT License,C (programming language),2017-11-02[19],Yes,No,?,?
NekoHTML,Apache License 2.0,Java (programming language),2014-06-02[20],Yes,?,?,?
TagSoup,Apache License 2.0,Java (programming language),2011-07-07,No,?,?,?
Validator.nu HTML Parser,MIT License,Java (programming language),2012-06-05,Yes,Yes,?,?
PHP Simple HTML DOM Parser,MIT License,PHP,2014-08-28,Yes,?,No,No
The PHP PHP-PHP,PHP License,PHP,2014-10-04,Yes,?,No,No
Nokogiri,MIT License,Ruby (programming language),2016-10-03[21],Yes,?,No,No
AVHTML,GNU Affero General Public License,C++,2015-08-27[22],Yes,?,No,Yes
BrilliantHTML5Parser,Apache License 2.0,Swift (programming language),2016-11-10,Yes,?,No,No
MyHTML,LGPL,C (programming language),2018-09-06,Yes,Yes,No,No
Aspose.HTML,Proprietary software,C Sharp (programming language),2018-06-06,Yes,Yes,?,?
Lexbor (HTML module),Apache License 2.0,C (programming language),2019-11-18,Yes,Yes,No,No
tooska,LGPL,C++,2019-06-29,Yes,?,?,?
Parser,Software license,Implementation language(s),Latest date*,HTML Parsing,HTML5-compliant Parsing,Clean HTML**,Update HTML***
