Other software,Windows,Linux,Mac OS X,Other
jDCBot,Yes,Yes,Yes,Any Java (software platform) compatible platform
Net::DirectConnect,Yes,Yes,Yes,Any Perl compatible platform
FlowLib,Yes,Yes,Yes,Any C Sharp (programming language) compatible platform
DC-hublink,Yes,No,No,No
Hub-Link,Yes,No,No,No
MyIrcDcLinks,Yes,No,No,No
NetChatLink,Yes,No,No,Runs under Wine (software)
Kitty,Yes,No,No,No
