Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[a],Computer bus Computer bus,GPU cache GPU cache (GPU cache),Clock speeds,,,Memory,,,,FillrateFillrate,,Processing power (GFLOPS)GFLOPS,,,,Thermal design power (Watts),NVLink Support,Release price (USD),
,,,,,,,,,Base core clock (Hertz),Boost core clock (Hertz),Memory (Transfer (computing)),Size (Gibibyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Pixel (Pixel/s)Pixel,Texture (Texel (graphics)/s)Texel (graphics),Single-precision floating-point format,Double-precision floating-point format,Half-precision floating-point format,Tensor compute + Single precision,,,MSRP,Founders Edition
Nvidia TITAN V[97]," December 7, 2017 ",GV100-400-A1,TSMC TSMC,21.1,815,5120:320:96:640 (80) (6),PCIe 3.0 x16,4.5,1200,1455,1700,12,652.8,HBM2,3072,153.6 186.2,384.0 465.6,12 288.0 14 899.2,6 144.0 7 449.6,24 576.0 29 798.4,110 592.0 134 092.8,250,No,$2999,N/A
Nvidia TITAN V CEO Edition[98][99]," June 21, 2018 ",GV-100-???-A1,,,,5120:320:128:640 (80) (6),,6,,,,32,870.4,,4096,,,,,,,,Yes,N/A,
