Country, Resolution, Satellite, Year launched
IMG India, 0.25 meter, Cartosat-3, 2019
IMG Japan, 0.4 meter, IGS Optical 5V, 2013
IMG Israel, 0.5 meter, Ofeq 9, 2010
IMG China, 0.5 meter, Gaofen 9, 2015
IMG South Korea, 0.7 meter, KOMPSAT-3, 2012
IMG Iran, 150 meters, Rasad 1, 2011
