,Trident (layout engine),EdgeHTML,Gecko (layout engine),WebKit,Presto (layout engine)
Ogg Ogg,Manual install[note 12],,1.9.1[g 101],Depends[note 13],2.5
H.264,5.0[t 46],,33.0[50][g 102],Depends (525)[note 13][w 78],Depends[note 14]
WebM WebM,Manual install[note 12],Yes[51],2.0[g 103][g 104],Depends (534)[w 79],2.6.30[p 34][p 35][p 36]
