Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
AbsoluteTelnet,Celestial Software,1996," 9.49 July 2, 2012; 8 years ago (2012-07-02) ",Proprietary software,Yes
Beyond Compare,Scooter Software,1996," 4.3.6 September 10, 2020; 0 days ago (2020-09-10) ",Proprietary software,Yes
Commander One,Eltima Software,2015," 1.1 September 29, 2015; 4 years ago (2015-09-29) ",Proprietary software,Yes
CrossFTP,CrossFTP Software,2006," 1.98.7 May 23, 2020; 3 months ago (2020-05-23) ",Proprietary software,Yes
CuteFTP,Alex Kunadze/Alex Kunadze,1994," 9.3.0 (Windows) July 11, 2018; 2 years ago (2018-07-11) / 3.1.3 (Mac) May 2, 2014; 6 years ago (2014-05-02) ",Proprietary software,Yes
Directory Opus,GPSoftware,1990," 11.10 December 19, 2014; 5 years ago (2014-12-19) ",Proprietary software,Yes
FlashFXP," OpenSight Software, LLC ",1999," 5.4.0.3970 April 1, 2017; 3 years ago (2017-04-01) ",Proprietary software,Yes
FTP Client,Vicomsoft,1997,5.0.1,Proprietary software,Yes
SmartFTP,SmartSoft Ltd,1998," 6.0.2155.0 July 23, 2015; 5 years ago (2015-07-23) ",Proprietary software,Yes
Total Commander,Christian Ghisler,1993," 9.51 March 25, 2020; 5 months ago (2020-03-25) ",Proprietary software,Yes
WebDrive," South River Technologies, Inc. ",1998," 2017 June 16, 2017; 3 years ago (2017-06-16) ",Proprietary software,Yes
WS FTP," Ipswitch, Inc. ",1996," 12.7 November 27, 2018; 21 months ago (2018-11-27) ",Proprietary software,Yes
Yummy FTP,Yummy Software,2004," 1.9.0 May 10, 2018; 2 years ago (2018-05-10) "," Proprietary software, Proprietary software ",?
