Model,Launch,Code name,Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,
,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (Mebibyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit)
Radeon 320,May 2002,A3,FSB,160," 200, 266 ",1:0:3:1,160,160,480,0,Unknown," 1.6, 2.128 ",DDR,64
Radeon 330,2002,RS200L (wilma),,150,,,150,150,450,,Unknown,,,
Radeon 340,,RS200 (wilma),,183,,,183,183,549,,Unknown,,,
