Application,Latest release date  and version,Developed by,Platforms,Mainly Used For,License
3ds Max,2019-03-27  v 2020,Autodesk,Microsoft Windows," Modeling, Animation (Video Games and Movies), FX Simulations, Lighting, Rendering ",Proprietary software
AC3D,2016-12-?  v 8,Inivis (page does not exist)," Linux, Linux, Linux ",Modeling,Proprietary software
Alibre Design,2018-07-16  v 2018," Alibre, LLC (page does not exist) ",Microsoft Windows,Computer Aided Design,Proprietary software
AutoCAD,2019-03-28  v 2020,Autodesk," Mac OS X, Mac OS X "," 2D Computer Aided Design, 3D Modeling, Basic Rendering, Rudimentary Animation (of Camera, not objects) ",Proprietary software
Blender (software),2020-08-31 v 2.90,Blender Foundation," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows "," 2D/3D toon Animation, Lighting, Modeling, Node based Material Creation / Texturing / 3D Texture Painting/ UV Mapping, Rendering (Internal, External, 3D Anaglyph and VR), 3D Rigging and Animation, Sculpting, Visual 3D Effects, Basic Post-Production Video Editing, Motion Tracking, Python Scripting, Fluid Simulation, Particles, Physics, Compositing ",GNU General Public License+ / GNU General Public License GNU General Public License
Carrara (software),2013-08-26  8.5.1.19,DAZ 3D," Microsoft Windows, Microsoft Windows "," Animation, Modeling ",Proprietary software
Cheetah 3D,2017-12-07 v 7.1,Dr. Martin Wengenmayer (page does not exist),Mac OS X," Animation, Modeling, Rendering ",Proprietary software
Cinema 4D,2018-09-11 R20,MAXON (page does not exist)," Mac OS X, Mac OS X, Mac OS XMac OS X "," Animation, Lighting, Modeling, Visual 3D Effects, Rendering, Simulation ",Proprietary software
CityEngine,2018-09-18  v 2018.1,Procedural programming," Mac OS X, Mac OS X, Mac OS X ",Procedural Modeling of 3D Cities,Proprietary software
Clara.io,redesigned in 2015-03-31,Exocortex," Mozilla FireFox, Mozilla FireFox, Mozilla FireFox "," Modeling, Animation, Rendering ",Proprietary software
Cobalt (CAD program),?-?-? v9 SP2r3,Ashlar-Vellum," Mac OS X, Mac OS X "," Modeling, Computer Aided Design, Animation ",Proprietary software
DesignSpark Mechanical,2018-11-13 v4.0," SpaceClaim, SpaceClaim ",Microsoft Windows," Modeling, Computer Aided Design, Rapid Prototyping, 3D Printing ",Proprietary software
Electric Image Animation System,2013-06  v9.1.0,EIAS3D (page does not exist)," Mac OS X, Mac OS X "," Animation, Lighting, Rendering, Film, Television, Visual 3D Effects ",Proprietary software
Form-Z pro/jr/free,2017-12-?  8.6 WIP," Autodessys, Inc. (page does not exist) "," Mac OS X, Mac OS X "," Animation, Modeling, Lighting, Render, Fabrication, Set Design ",Proprietary software
Hexagon (software),2011-08-16  2.5.1.79,DAZ 3D," Microsoft Windows, Microsoft Windows "," Subdivision Modeling, UV Mapping ",Proprietary software
HiCAD,2017-02-13 v HiCAD 2017,ISD Software und Systeme (page does not exist),Microsoft Windows," 2D/3D Modeling, Computer Aided Design, Automatic drawing generation, BIM, Animation, HELiOS PDM integration, API scripting ",Proprietary software
