Distribution,Default Linux kernel,Default File system,Default Init,Install-time Desktop environment or Desktop environment selection,Reproducible builds
Alpine Linux,Binary blobs,ext4,OpenRC,none,In progress[81]
ALT Linux,Binary blobs,ext3,Systemd," KDE Plasma Workspaces, Xfce ",No
Arch Linux,Binary blobs[82],none[83],systemd,none,In progress[84][85]
BLAG Linux and GNU,Linux-libre,ext3,sysvinit,GNOME,No
Bodhi Linux,Binary blobs,ext4,systemd,Moksha (Enlightenment (window manager) fork),No
Canaima (operating system),Binary blobs[82],?,systemd,Cinnamon (software) and Cinnamon (software),No
CentOS,Binary blobs[82],xfs,systemd,GNOME,No
Chakra (operating system),Binary blobs,ext4,systemd,KDE Plasma Workspaces,No
ClearOS,Binary blobs,ext3,systemd,none (Web based),No
CoreOS,Binary blobs,ext4,systemd,None,No
CrunchBang Linux,Binary blobs,ext4,sysvinit,Openbox,No
Damn Small Linux,Binary blobs,ext3,sysvinit,JWM,No
Debian," By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally.Linux-libre Built with Linux-libre tools.Linux-libre ",ext4,systemd," GNOME, KDE, KDE, KDEKDE ",In progress[88][89]
Devuan,Binary blobs,Ext4,Sysvinit,Xfce,No
Dragora GNU/Linux-Libre,Linux-libre,ext4,Runit,Xfce,No
Dyne:bolic,Linux-libre,?,systemd,GNOME,No
Fedora (operating system),Binary blobs,ext4,systemd," GNOME (default Workstation Edition), Spins for: KDE Plasma Workspaces, Xfce, LXDE, MATE (with Compiz), Cinnamon, Sugar (software) ",In progress[90]
Funtoo Linux,Binary blobs,none,openrc,None,No
Gentoo Linux,Binary blobs,none,openrc," Awesome (window manager), Enlightenment, Fluxbox, GNOME, KDE, LXDE-Meta, Openbox, XBMC and Xfce (live DVD)Awesome (window manager) ",No
GNewSense," Debian Linux kernel, and (unlike Debian) blobs cannot be installed[86] ",ext3,sysvinit,GNOME,No
GNU Guix," Linux-libre, Linux-libre (in progress)Linux-libre "," btrfs, ext4 ",GNU Shepherd," GNOME, Xfce, Mate, Enlightenment, i3, ratpoison, xmonad ",In progress[93][94]
Hyperbola GNU/Linux-libre,Linux-libre,none,openrc[95],none,No
Kali Linux,Binary blobs,ext3,systemd,GNOME,No
Knoppix,Binary blobs,xfs,microknoppix,LXDE,No
LibreCMCLibreCMC,Binary blobs,ext4,busybox-init,none,No
Linux MintLinux Mint,Binary blobs[82],ext4,Systemd," MATE (desktop environment), MATE (desktop environment), MATE (desktop environment), MATE (desktop environment) ",No
Mageia,Binary blobs,ext4,systemd," KDE Plasma Workspaces, GNOME ",No
Mandriva Linux,Binary blobs,ext4,systemd,KDE Plasma Workspaces,No
Manjaro Linux,Binary blobs,none[98],systemd," Xfce, Xfce, Xfce Xfce ",No
MEPIS,Binary blobs," ext3, ext4 ",sysvinit,KDE Plasma Workspaces,No
Musix GNU+LinuxMusix GNU+Linux,Linux-libre,ext4,initscripts,LXDE,No
OpenELEC,Binary blobs,SquashFS,shell script,XBMC Media Center,No
OpenSUSE,Binary blobs,btrfs,systemd," KDE Plasma Workspaces, GNOME, Xfce ",In progress[101]
OpenWrt,Binary blobs,Overlayfs+Overlayfs/OverlayfsOverlayfs,procd[103],none,In progress[104]
Parabola GNU/Linux-libre,Linux-libre,none,openrc or systemd,none,No
Pardus (operating system),Binary blobs,ext4,systemd,KDE Plasma Workspaces,No
Parsix,Binary blobs,ext4,systemd,GNOME,No
PCLinuxOS,Binary blobs,none,sysvinit," KDE Plasma Workspaces, GNOME, LXDE, Xfce, Enlightenment, Openbox ",No
Pentoo,Binary blobs,SquashFS,openrc,Enlightenment,No
Porteus (operating system),Binary blobs," Squashfs, ext2, ext3, ext4, FAT32, reiser, xfs ",sysvinit," KDE, LXDE, Xfce, Openbox, Razor-qt ",No
Puppy Linux,Binary blobs,SquashFS containing ext2,busybox-init,JWM,No
Red Hat Enterprise Linux,Binary blobs,xfs,systemd,GNOME,No
Pixart,Binary blobs,ext3,?,KDE Plasma Workspaces,No
Sabayon Linux,Binary blobs,ext4[105],systemd," KDE Plasma Workspaces, GNOME ",No
Scientific Linux,Binary blobs,ext4," sysvinit, systemd[106] ",GNOME,No
Slackware,Binary blobs[82]," ext4, ext3, ext2, reiserfs, brtfs, xfs ",RC.d and sysvinit compatibile," KDE, XFCE Fluxbox, Blackbox, fvwm2 Blackbox ",No
Slax,Binary blobs,SquashFS,sysvinit,KDE Plasma Workspaces,No
SliTaz GNU/Linux,Binary blobs,ext3,busybox-init,Openbox,No
Solus (operating system),Binary blobs,ext4,systemd," Budgie (desktop environment), Gnome, MATE ",No
Source Mage GNU/Linux,Binary blobs,ext2,simpleinit-msb,none,No
SteamOS,Binary blobs,?,systemd,Steam (software),No
SUSE Linux Enterprise Desktop,Binary blobs[82],btrfs[107],systemd,GNOME,No
The Amnesic Incognito Live System,Vanilla Linux[82],?,systemd,GNOME,Reproducible ISO and USB images[108][109]
Trisquel,Linux-libre," ext4, xfs ",Systemd," GNOME, GNOME ",No
TurnKey Linux Virtual Appliance Library,Binary blobs,ext4,systemd,none - headless server by design; provides Webmin for administration,No
Ubuntu (operating system)/Ubuntu (operating system),Binary blobs[82],ext4[110],systemd,Unity (user interface),No
Ubuntu GNOME,Binary blobs,ext4,systemd,GNOME 3,No
Ubuntu MATE,Binary blobs,ext4,systemd,MATE,No
Kubuntu,Binary blobs,ext4[110],systemd,KDE Plasma Workspaces,No
Xubuntu,Binary blobs,ext4[110],systemd,Xfce,No
Lubuntu,Binary blobs,ext4,systemd,LXQt,No
Ututo," Ututo XS (stable) is de-blobbed with Linux-libre tools.Linux-libre Ututo UL (development) uses Linux-libre. Ututo UL means ""Ubuntu-Libre"" ",ext3,systemd,GNOME,No
VectorLinux,Binary blobs,ReiserFS,sysvinit," KDE, Openbox, Fluxbox, IceWM, Xfce ",No
Void Linux,Binary blobs,none,runit,none,No
Webconverger,Binary blobs,gitfs,sysvinit,Dwm enforcing a Browser-only interface,No
XBMC Live,Binary blobs,ext3,Systemd,XBMC Media Center,No
Zentyal,Binary blobs,ext4,systemd,LXDE,No
Zenwalk,Binary blobs,ext4,sysvinit,Xfce,No
Distribution,Default Linux kernel,Default file system,Default init system,Install-time desktop environment or window manager selection,Reproducible builds
