Function,FalconStor,FreeNAS,Microsoft MicrosoftMicrosoft,Open-E (company) (page does not exist) Open-E (company) (page does not exist),Openfiler
Continuous Data Protection (CDP),Yes,No,Yes,Yes,Yes
Snapshot (computer storage),Yes,Yes,Yes,Yes,Yes
Disk mirroring and Disk mirroring,Yes,Yes,Yes,Yes,Yes
Thin Provisioning,Yes,No,Yes,No,No
Cache (computing),Yes,No,Yes,No,Yes
Challenge-handshake authentication protocol,Yes,Yes,Yes,Yes,Yes
Multi-user mutual Challenge-Handshake Authentication Protocol authorization,No,No,No,No,No
IPsec tunnelling,No,No,Yes,Yes,No
Software RAID,No,Yes,Yes,Yes,Yes
RAM drive,No,Yes,Yes,Yes,Yes
Virtual tape library,Yes,No,No,Yes,No
Microsoft Management Console support,No,Yes,No,No,No
PerfMon (page does not exist) support,No,No,Yes,No,No
High availability support,Yes,No,Yes," Yes, but unstable [3] ",No
VHD (file format) support,Yes,Yes-Challenge-handshake authentication protocol,Yes,Yes,No
Dynamically expanding file support,Yes,No,No,No,No
Virtual Burner support,No,No,No,No,No
EventViewer (page does not exist) support,No,No,Yes,No,No
Multipath I/O,Yes,No,Yes,Yes,Yes
Windows Windows,No,No,Yes,No,No
VMware integration toolkit,No,No,No,No,No
Remote management (page does not exist),Yes,Yes,Yes,Yes,Yes
Unlimited Network Interface Controller Support,Yes,Yes,Yes,Yes,Yes (Old v:1)
Storage unlimited,No 64 TB,Yes,Yes,No 4/8/16 (more need additional license),Yes
