Integrated development environment,Software developer,Latest stable Software release,Platform (computing),Software license
R Tools for Visual Studio,Microsoft," March 10, 2017 (2017-03-10), v1.0 RC3 ",Microsoft Windows,Apache License 2.0
RStudio," RStudio, Inc. "," October 29, 2018 (2018-10-29), v1.1.463 ",Cross-platform,GNU Affero General Public License
