Product,Local books,Book file search,Epub downloading,Browser downloading,OPDS catalog,Books tag,Books sort,Books manage metadata
Aldiko,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
AlReader (page does not exist),Yes,Yes,Yes,?,Yes,Yes,Yes,Yes
Bookari Ebook Reader Premium (page does not exist),Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
CoolReader,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes
EBookDroid (page does not exist),Yes,?,?,?,Yes,?,?,?
Ebook Reader (page does not exist),Yes,Yes,Yes,Yes,No,Yes,Yes,No
EReader Prestigio (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
FBReader,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
IReader (page does not exist),?,?,?,?,?,?,?,?
Amazon Kindle,?,?,?,?,?,?,?,?
Kobo Books,?,?,?,?,?,?,?,?
KOReader,Yes,?,No,No,Yes,?,?,?
Lektz,Yes,Yes,Yes,?,?,?,?,?
Librera (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Moon+ reader (page does not exist),Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
MReader (page does not exist),Yes,Yes,Yes,Yes,No,No,No,No
PocketBook reader (page does not exist),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Socio eReader (page does not exist),Yes,Yes,Yes,No,No,No,Yes,No
